transect_ID,distance,HU,relative_distance,Year
GLOM2_a1_1,0.6797,3597.233,0.6797,2019
GLOM2_a1_1,0.7768,3929.165,0.7768,2019
GLOM2_a1_1,0.8739,3981.109,0.8739,2019
GLOM2_a1_1,0.971,4269.374,0.971,2019
GLOM2_a1_1,1.0681,4317.272,1.0681,2019
GLOM2_a1_1,1.1652,4352.462,1.1652,2019
GLOM2_a1_1,1.2623,4458.099,1.2623,2019
GLOM2_a1_1,1.3594,4526.292,1.3594,2019
GLOM2_a1_1,1.4565,4627.76,1.4565,2019
GLOM2_a1_1,1.5536,4500.585,1.5536,2019
GLOM2_a1_1,1.6507,4636.101,1.6507,2019
GLOM2_a1_1,1.7478,4525.371,1.7478,2019
GLOM2_a1_1,1.8449,4481.592,1.8449,2019
GLOM2_a1_1,1.942,4554.742,1.942,2019
GLOM2_a1_1,2.0391,4524.6,2.0391,2019
GLOM2_a1_1,2.1362,4491.268,2.1362,2019
GLOM2_a1_1,2.2333,4782.081,2.2333,2019
GLOM2_a1_1,2.3304,4518.585,2.3304,2019
GLOM2_a1_1,2.4275,4522.969,2.4275,2019
GLOM2_a1_1,2.5246,4442.918,2.5246,2019
GLOM2_a1_1,2.6217,4071.945,2.6217,2019
GLOM2_a1_1,2.7188,4095.069,2.7188,2019
GLOM2_a1_1,2.8159,4369.84,2.8159,2019
GLOM2_a1_1,2.913,4214.014,2.913,2019
GLOM2_a1_1,3.0101,4025.77,3.0101,2019
GLOM2_a1_1,3.1072,4049.003,3.1072,2019
GLOM2_a1_1,3.2043,4322.584,3.2043,2019
GLOM2_a1_1,3.3014,4214.124,3.3014,2019
GLOM2_a1_1,3.3985,4096.554,3.3985,2019
GLOM2_a1_1,3.4956,4130.817,3.4956,2019
GLOM2_a1_1,3.5927,4113.219,3.5927,2019
GLOM2_a1_1,3.6898,4192.325,3.6898,2019
GLOM2_a1_1,3.7869,4315.744,3.7869,2019
GLOM2_a1_1,3.884,4166.78,3.884,2019
GLOM2_a1_1,3.9811,4238.514,3.9811,2019
GLOM2_a1_1,4.0782,4257.122,4.0782,2019
GLOM2_a1_1,4.1753,4176.523,4.1753,2019
GLOM2_a1_1,4.2724,4127.02,4.2724,2019
GLOM2_a1_1,4.3695,4131.589,4.3695,2019
GLOM2_a1_1,4.4666,4098.528,4.4666,2019
GLOM2_a1_1,4.5637,4293.347,4.5637,2019
GLOM2_a1_1,4.6608,4234.505,4.6608,2019
GLOM2_a1_1,4.7579,4138.915,4.7579,2019
GLOM2_a1_1,4.855,4150.708,4.855,2019
GLOM2_a1_1,4.9521,4039.007,4.9521,2019
GLOM2_a1_1,5.0492,3978.347,5.0492,2019
GLOM2_a1_1,5.1463,4043.135,5.1463,2019
GLOM2_a1_1,5.2434,3885.1,5.2434,2019
GLOM2_a1_1,5.3405,4064.625,5.3405,2019
GLOM2_a1_1,5.4376,4113.497,5.4376,2019
GLOM2_a1_1,5.5347,4060.413,5.5347,2019
GLOM2_a1_1,5.6318,4076.975,5.6318,2019
GLOM2_a1_1,5.7289,3981.033,5.7289,2019
GLOM2_a1_1,5.826,3880.676,5.826,2019
GLOM2_a1_1,5.9231,3951.487,5.9231,2019
GLOM2_a1_1,6.0202,3808.786,6.0202,2019
GLOM2_a1_1,6.1173,3863.24,6.1173,2019
GLOM2_a1_1,6.2144,4104.976,6.2144,2019
GLOM2_a1_1,6.3115,3983.639,6.3115,2019
GLOM2_a1_1,6.4086,3878.77,6.4086,2019
GLOM2_a1_1,6.5057,3946.219,6.5057,2019
GLOM2_a1_1,6.6028,3690.654,6.6028,2019
GLOM2_a1_1,6.6999,3649.812,6.6999,2019
GLOM2_a1_1,6.797,3660.702,6.797,2019
GLOM2_a1_1,6.8941,3622.376,6.8941,2019
GLOM2_a1_1,6.9912,3609.694,6.9912,2019
GLOM2_a1_1,7.0883,3477.232,7.0883,2019
GLOM2_a1_1,7.1854,3439.517,7.1854,2019
GLOM2_a1_1,7.2825,3403.385,7.2825,2019
GLOM2_a1_1,7.3796,3513.589,7.3796,2019
GLOM2_a1_1,7.4767,3537.154,7.4767,2019
GLOM2_a1_1,7.5738,3582.212,7.5738,2019
GLOM2_a1_1,7.6709,3681.091,7.6709,2019
GLOM2_a1_1,7.768,3689.357,7.768,2019
GLOM2_a1_1,7.8651,3893.759,7.8651,2019
GLOM2_a1_1,7.9622,3890.123,7.9622,2019
GLOM2_a1_1,8.0593,4138.457,8.0593,2019
GLOM2_a1_1,8.1564,4371.401,8.1564,2019
GLOM2_a1_1,8.2535,4160.728,8.2535,2019
GLOM2_a1_1,8.3506,4121.648,8.3506,2019
GLOM2_a1_1,8.4477,4174.858,8.4477,2019
GLOM2_a1_1,8.5448,3975.402,8.5448,2019
GLOM2_a1_1,8.6419,4040.428,8.6419,2019
GLOM2_a1_1,8.739,3879.289,8.739,2019
GLOM2_a1_1,8.8361,3893.967,8.8361,2019
GLOM2_a1_1,8.9332,4175.788,8.9332,2019
GLOM2_a1_1,9.0303,4124.487,9.0303,2019
GLOM2_a1_1,9.1274,4003.996,9.1274,2019
GLOM2_a1_1,9.2245,4023.708,9.2245,2019
GLOM2_a1_1,9.3216,4017.312,9.3216,2019
GLOM2_a1_1,9.4187,4233.375,9.4187,2019
GLOM2_a1_1,9.5158,4078.383,9.5158,2019
GLOM2_a1_1,9.6129,4177.784,9.6129,2019
GLOM2_a1_1,9.71,4280.99,9.71,2019
GLOM2_a1_1,9.8071,4215.224,9.8071,2019
GLOM2_a1_1,9.9042,4080.79,9.9042,2019
GLOM2_a1_1,10.0013,4309.519,10.0013,2019
GLOM2_a1_1,10.0984,4439.707,10.0984,2019
GLOM2_a1_1,10.1955,4034.462,10.1955,2019
GLOM2_a1_1,10.2926,4036.676,10.2926,2019
GLOM2_a1_1,10.3897,4070.478,10.3897,2019
GLOM2_a1_1,10.4868,4125.542,10.4868,2019
GLOM2_a1_1,10.5839,4451.671,10.5839,2019
GLOM2_a1_1,10.681,4685.368,10.681,2019
GLOM2_a1_1,10.7781,4590.881,10.7781,2019
GLOM2_a1_1,10.8752,4705.086,10.8752,2019
GLOM2_a1_1,10.9723,4684.161,10.9723,2019
GLOM2_a1_1,11.0694,4410.486,0,2018
GLOM2_a1_1,11.1665,4547.599,0.0970999999999993,2018
GLOM2_a1_1,11.2636,4521.675,0.1942,2018
GLOM2_a1_1,11.3607,4467.9,0.2913,2018
GLOM2_a1_1,11.4578,4392.985,0.388400000000001,2018
GLOM2_a1_1,11.5549,4463.947,0.4855,2018
GLOM2_a1_1,11.652,4733.269,0.582599999999999,2018
GLOM2_a1_1,11.7491,4768.778,0.6797,2018
GLOM2_a1_1,11.8462,4865.062,0.7768,2018
GLOM2_a1_1,11.9433,5045.575,0.873900000000001,2018
GLOM2_a1_1,12.0404,4973.588,0.971,2018
GLOM2_a1_1,12.1375,5170.787,1.0681,2018
GLOM2_a1_1,12.2346,5127.381,1.1652,2018
GLOM2_a1_1,12.3317,5118.089,1.2623,2018
GLOM2_a1_1,12.4288,5047.027,1.3594,2018
GLOM2_a1_1,12.5259,4679.132,1.4565,2018
GLOM2_a1_1,12.623,4582.101,1.5536,2018
GLOM2_a1_1,12.7201,4417.813,1.6507,2018
GLOM2_a1_1,12.8172,4383.751,1.7478,2018
GLOM2_a1_1,12.9143,4096.441,1.8449,2018
GLOM2_a1_1,13.0114,3902.176,1.942,2018
GLOM2_a1_1,13.1085,3894.06,2.0391,2018
GLOM2_a1_1,13.2056,4076.462,2.1362,2018
GLOM2_a1_1,13.3027,4029.603,2.2333,2018
GLOM2_a1_1,13.3998,4123.081,2.3304,2018
GLOM2_a1_1,13.4969,3858.943,2.4275,2018
GLOM2_a1_1,13.594,4025.695,2.5246,2018
GLOM2_a1_1,13.6911,3894.812,2.6217,2018
GLOM2_a1_1,13.7882,3976.827,2.7188,2018
GLOM2_a1_1,13.8853,4379.08,2.8159,2018
GLOM2_a1_1,13.9824,4217.688,2.913,2018
GLOM2_a1_1,14.0795,4300.181,3.0101,2018
GLOM2_a1_1,14.1766,4255.183,3.1072,2018
GLOM2_a1_1,14.2737,4225.962,3.2043,2018
GLOM2_a1_1,14.3708,4381.125,3.3014,2018
GLOM2_a1_1,14.4679,4152.972,3.3985,2018
GLOM2_a1_1,14.565,4363.887,3.4956,2018
GLOM2_a1_1,14.6621,4284.009,3.5927,2018
GLOM2_a1_1,14.7592,4235.188,3.6898,2018
GLOM2_a1_1,14.8563,4547.359,3.7869,2018
GLOM2_a1_1,14.9534,4496.137,3.884,2018
GLOM2_a1_1,15.0505,4621.095,3.9811,2018
GLOM2_a1_1,15.1476,4620.264,4.0782,2018
GLOM2_a1_1,15.2447,4574.265,4.1753,2018
GLOM2_a1_1,15.3418,4761.615,4.2724,2018
GLOM2_a1_1,15.4389,4507.625,4.3695,2018
GLOM2_a1_1,15.536,4507.637,4.4666,2018
GLOM2_a1_1,15.6331,4460.878,4.5637,2018
GLOM2_a1_1,15.7302,4330.71,4.6608,2018
GLOM2_a1_1,15.8273,4331.257,4.7579,2018
GLOM2_a1_1,15.9244,4259.295,4.855,2018
GLOM2_a1_1,16.0215,4177.879,4.9521,2018
GLOM2_a1_1,16.1186,4141.672,5.0492,2018
GLOM2_a1_1,16.2157,4034.713,5.1463,2018
GLOM2_a1_1,16.3128,3748.101,5.2434,2018
GLOM2_a1_1,16.4099,3887.493,5.3405,2018
GLOM2_a1_1,16.507,4147.752,5.4376,2018
GLOM2_a1_1,16.6041,4205.472,5.5347,2018
GLOM2_a1_1,16.7012,4230.33,5.6318,2018
GLOM2_a1_1,16.7983,4023.348,5.7289,2018
GLOM2_a1_1,16.8954,3990.882,5.826,2018
GLOM2_a1_1,16.9925,4004.816,5.9231,2018
GLOM2_a1_1,17.0896,3942.217,6.0202,2018
GLOM2_a1_1,17.1867,3989.546,6.1173,2018
GLOM2_a1_1,17.2838,4040.126,6.2144,2018
GLOM2_a1_1,17.3809,4155.363,6.3115,2018
GLOM2_a1_1,17.478,4049.881,6.4086,2018
GLOM2_a1_1,17.5751,4002.996,6.5057,2018
GLOM2_a1_1,17.6722,4209.766,6.6028,2018
GLOM2_a1_1,17.7693,4300.076,6.6999,2018
GLOM2_a1_1,17.8664,4050.843,6.797,2018
GLOM2_a1_1,17.9635,4124.488,6.8941,2018
GLOM2_a1_1,18.0606,4229.36,6.9912,2018
GLOM2_a1_1,18.1577,4159.468,7.0883,2018
GLOM2_a1_1,18.2548,4122.084,7.1854,2018
GLOM2_a1_1,18.3519,4319.091,7.2825,2018
GLOM2_a1_1,18.449,4133.657,7.3796,2018
GLOM2_a1_1,18.5461,4021.275,7.4767,2018
GLOM2_a1_1,18.6432,4288.416,7.5738,2018
GLOM2_a1_1,18.7403,3996.606,7.6709,2018
GLOM2_a1_1,18.8374,4154.76,7.768,2018
GLOM2_a1_1,18.9345,4291.859,7.8651,2018
GLOM2_a1_1,19.0316,4102.875,7.9622,2018
GLOM2_a1_1,19.1287,4501.938,8.0593,2018
GLOM2_a1_1,19.2258,4295.583,8.1564,2018
GLOM2_a1_1,19.3229,4169.748,8.2535,2018
GLOM2_a1_1,19.42,4346.16,8.3506,2018
GLOM2_a1_1,19.5171,4204.155,8.4477,2018
