distance,HU
0,4650.917
0.097,4809.838
0.194,4782.273
0.291,4781.67
0.388,4780.329
0.486,4610.108
0.583,4497.577
0.68,4230.509
0.777,4256.513
0.874,4473.563
0.971,4561.521
1.068,4492.499
1.165,4276.02
1.262,4188.772
1.359,4277.1
1.457,4312.402
1.554,4364.776
1.651,4260.151
1.748,4467.24
1.845,4442.489
1.942,4499.147
2.039,4594.828
2.136,4602.809
2.233,4388.403
2.33,4119.491
2.428,4108.061
2.525,4008.502
2.622,4108.725
2.719,4369.654
2.816,4581.201
2.913,4717.441
3.01,4734.193
3.107,4555.877
3.204,4848.131
3.301,4733.983
3.398,4580.892
3.496,4355.695
3.593,4177.379
3.69,4048.55
3.787,3947.195
3.884,3909.138
3.981,3852.699
4.078,4064.786
4.175,4185.947
4.272,4303.212
4.37,4453.169
4.467,4593.402
4.564,4558.054
4.661,4661.41
4.758,4524.18
4.855,4463.297
4.952,4334.135
5.049,4286.005
5.146,4200.411
5.243,4108.323
5.34,4226.575
5.438,4296.524
5.535,4417.293
5.632,4281.132
5.729,4360.001
5.826,4501.652
5.923,4387.823
6.02,4349.359
6.117,4428.441
6.214,4244.542
6.312,4451.042
6.409,4850.626
6.506,5110.29
6.603,4683.458
6.7,4474.956
6.797,4291.622
6.894,4366.122
6.991,4643.534
7.088,4665.317
7.185,4608.181
7.282,4573.106
7.38,4785.499
7.477,4678.727
7.574,4565.167
7.671,4453.298
7.768,4188.572
7.865,4163.914
7.962,4499.812
8.059,4340.178
8.156,4057.467
8.253,4203.882
8.351,4363.443
8.448,4491.652
8.545,4292.688
8.642,4486.899
8.739,4562.473
8.836,4439.68
8.933,4246.144
9.03,4238.568
9.127,4225.391
9.224,4276.414
9.322,4311.602
9.419,4362.77
9.516,4416.141
9.613,4362.52
9.71,4474.358
9.807,4460.19
9.904,4434.407
10.001,4537.727
10.098,4857.032
10.196,4939.754
10.293,4651.526
10.39,4394.516
10.487,4247.027
10.584,4474.289
10.681,4863.654
10.778,5151.438
10.875,5350.032
10.972,5292.02
11.069,5028.399
11.167,4853.799
11.264,4796.657
11.361,4779.915
11.458,4621.348
11.555,4605.415
11.652,4771.215
11.749,4820.975
11.846,4975.818
11.943,5053.739
12.04,4612.096
12.137,4404.157
12.235,4621.31
12.332,4981.667
12.429,4658.771
12.526,4316.168
12.623,4173.905
12.72,4083.855
12.817,4212.977
12.914,4420.232
13.011,4538.535
13.108,4744.796
13.206,4759.45
13.303,4767.725
13.4,4677.585
13.497,4541.941
13.594,4375.228
13.691,4360.848
13.788,4477.279
13.885,4669.017
13.982,4777.556
14.08,4704.697
14.177,4704.583
14.274,4804.573
14.371,4875.188
14.468,4913.938
14.565,4664.884
14.662,4520.867
14.759,4538.909
14.856,4873.109
14.953,5020.341
15.05,4425.831
15.148,4298.564
15.245,4703.545
15.342,4482.223
15.439,4724.175
15.536,5077.646
15.633,4859.334
15.73,4790.945
15.827,4723.506
15.924,4667.204
16.021,5001.755
16.119,5248.856
16.216,5219.044
16.313,5060.375
16.41,4916.706
16.507,4728.23
16.604,4873.937
16.701,4615.782
16.798,4784.481
16.895,4765.953
16.993,4785.545
17.09,4644.019
17.187,4999.891
17.284,4604.05
17.381,4482.477
17.478,4819.658
17.575,4893.975
17.672,4913.161
17.769,4756.889
17.866,4887.651
17.963,4860.523
18.061,4776.476
18.158,4780.73
18.255,4902.268
18.352,4931.736
18.449,4940.659
18.546,5035.173
18.643,5126.271
18.74,4861.58
18.837,4756.157
18.934,4787.644
19.032,4771.727
19.129,4688.643
19.226,4456.708
19.323,4645.311
19.42,4656.892
19.517,4894.462
19.614,5099.724
19.711,5021.067
19.808,5062.038
19.906,5065.242
20.003,4932.293
20.1,4713.715
20.197,4496.983
20.294,4523.273
20.391,4498.305
20.488,4553.915
20.585,4669.847
20.682,4971.505
20.779,5002.706
20.876,5020.354
20.974,4866.282
21.071,5217.056
21.168,5339.979
21.265,5282.453
21.362,5327.986
21.459,5136.572
21.556,4968.796
21.653,5052.799
21.75,5060.536
21.847,4808.265
21.945,4750.562
22.042,4877.627
22.139,5132.939
22.236,5094.961
22.333,4867.161
22.43,5062.862
22.527,5277.119
22.624,5264.405
22.721,5232.82
22.819,5437.51
22.916,5331.9
23.013,5304.926
23.11,5198.092
23.207,5266.737
23.304,5277.741
23.401,5069.639
23.498,4824.467
23.595,4546.666
23.692,5071.887
23.789,5333.52
23.887,4813.321
23.984,4099.34
24.081,4511.952
24.178,4618.007
24.275,4388.81
24.372,4738.35
24.469,4891.656
24.566,4795.839
24.663,4630.251
24.76,4971.056
24.858,4548.366
24.955,4330.737
25.052,4159.53
25.149,3697.24
25.246,3204.872
25.343,3363.131
25.44,3383.781
25.537,3749.63
25.634,3691.244
25.732,3539.887
25.829,3290.342
25.926,3560.337
26.023,3710.323
26.12,3684.196
26.217,3553.497
26.314,3482.667
26.411,3314.574
26.508,3556.686
26.605,4046.378
26.702,4145.346
26.8,4088.619
26.897,4571.059
26.994,4722.353
27.091,4318.516
27.188,4015.43
27.285,4112.886
27.382,4280.125
27.479,4234.88
27.576,4003.127
27.674,3929.485
27.771,4010.229
27.868,4240.614
27.965,4093.663
28.062,4079.313
28.159,4292.266
28.256,4263.687
28.353,4246.727
28.45,4065.073
28.547,3896.927
28.645,3829.859
28.742,4045.878
28.839,4305.707
28.936,4392.564
29.033,4151.097
29.13,3826.212
29.227,4071.002
29.324,4264.353
29.421,3888.753
29.518,3813.155
29.615,3683.665
29.713,4090.378
29.81,3992.554
29.907,4254.254
30.004,4385.646
30.101,4725.793
30.198,4711.952
30.295,4634.537
30.392,4716.052
30.489,4617.336
30.587,4292.649
30.684,4087.241
30.781,3916.265
30.878,3825.704
30.975,3863.01
31.072,3994.584
31.169,3991.208
31.266,4031.786
31.363,3978.727
31.46,3841.89
31.558,3821.082
31.655,3776.099
31.752,4101.912
31.849,3980.759
31.946,3986.367
32.043,3604.442
32.14,3575.054
32.237,3976.948
32.334,3772.869
32.431,3823.576
32.528,3671.945
32.626,3542.169
32.723,3844.865
32.82,4010.026
32.917,3977.784
33.014,3819.11
33.111,3801.168
33.208,3892.715
33.305,4410.474
33.402,4729.886
33.5,4477.992
33.597,4453.606
33.694,3887.736
33.791,3346.52
33.888,3181.552
33.985,3881.497
34.082,4209.143
34.179,4040.78
34.276,3709.158
34.373,3692.389
34.471,3716.671
34.568,3576.134
34.665,3713.318
34.762,4084.688
34.859,3954.917
34.956,3778.478
35.053,3865.988
35.15,3870.238
35.247,4105.448
35.344,4270.716
35.442,4409.048
35.539,4054.345
35.636,3809.047
35.733,3674.731
35.83,3587.313
35.927,3659.061
36.024,3731.967
36.121,3620.32
36.218,3767.283
36.315,3892.495
36.412,3874.256
36.51,3885.407
36.607,3585.146
36.704,3623.626
36.801,3490.15
36.898,3397.598
36.995,3391.496
37.092,3402.378
37.189,3406.142
37.286,3976.487
37.383,4438.737
37.481,4629.667
37.578,4211.893
37.675,3941.231
37.772,3715.852
37.869,3947.436
37.966,4322.385
38.063,4375.292
38.16,4602.812
38.257,4621.04
38.354,4548.643
38.452,4734.939
38.549,4401.843
38.646,4071.036
38.743,3836.95
38.84,3885.848
38.937,4229.89
39.034,4469.187
39.131,4280.512
39.228,4108.689
39.326,3904.074
39.423,3790.912
39.52,3864.083
39.617,3820.551
39.714,3887.04
39.811,4035.735
39.908,4176.407
40.005,4473.148
40.102,4299.927
40.199,4542.156
40.297,4737.415
40.394,4878.778
40.491,4777.29
40.588,4511.42
40.685,4082.028
40.782,4054.232
40.879,3893.745
40.976,4109.046
41.073,4294.018
41.17,4476.388
41.268,4320.703
41.365,4286.628
41.462,4069.69
41.559,3769.268
41.656,3571.049
41.753,3767.384
41.85,3571.535
41.947,4206.376
