distance,rdistance,HU
0.2913,0.2913,3058.566
0.3884,0.3884,3158.09
0.4855,0.4855,3370.455
0.5826,0.5826,3674.256
0.6797,0.6797,3916.44
0.7768,0.7768,4127.368
0.8739,0.8739,4332.438
0.971,0.971,4458.119
1.0681,1.0681,4455.055
1.1652,1.1652,4472.37
1.2623,1.2623,4549.347
1.3594,1.3594,4586.309
1.4565,1.4565,4653.977
1.5536,1.5536,4761.823
1.6507,1.6507,4766.605
1.7478,1.7478,4757.335
1.8449,1.8449,4726.409
1.942,1.942,4757.349
2.0391,2.0391,4791.104
2.1362,2.1362,4774.458
2.2333,2.2333,4752.866
2.3304,2.3304,4737.532
2.4275,2.4275,4781.716
2.5246,2.5246,4885.07
2.6217,2.6217,4989.732
2.7188,2.7188,4976.399
2.8159,2.8159,4867.817
2.913,2.913,4839.571
3.0101,3.0101,4858.334
3.1072,3.1072,4851.465
3.2043,3.2043,4880.818
3.3014,3.3014,4936.372
3.3985,3.3985,4914.792
3.4956,3.4956,4793.771
3.5927,3.5927,4767.441
3.6898,3.6898,4908.126
3.7869,3.7869,4966.437
3.884,3.884,4803.114
3.9811,3.9811,4569.274
4.0782,4.0782,4491.662
4.1753,4.1753,4454.286
4.2724,4.2724,4417.389
4.3695,4.3695,4382.173
4.4666,4.4666,4347.976
4.5637,4.5637,4324.641
4.6608,4.6608,4246.167
4.7579,4.7579,4161.106
4.855,4.855,4125.416
4.9521,4.9521,4075.715
5.0492,5.0492,3988.047
5.1463,5.1463,3920.76
5.2434,5.2434,3877.907
5.3405,5.3405,3923.277
5.4376,5.4376,3936.694
5.5347,5.5347,3887.505
5.6318,5.6318,3798.515
5.7289,5.7289,3636.144
5.826,5.826,3523.194
5.9231,5.9231,3520.367
6.0202,6.0202,3573.421
6.1173,6.1173,3631.726
6.2144,6.2144,3663.513
6.3115,6.3115,3612.234
6.4086,6.4086,3549.948
6.5057,6.5057,3539.747
6.6028,6.6028,3549.463
6.6999,6.6999,3558.005
6.797,6.797,3562.578
6.8941,6.8941,3610.356
6.9912,6.9912,3640.989
7.0883,7.0883,3628.212
7.1854,7.1854,3659.84
7.2825,7.2825,3607.023
7.3796,7.3796,3531.46
7.4767,7.4767,3476.123
7.5738,7.5738,3413.969
7.6709,7.6709,3408.763
7.768,7.768,3392.232
7.8651,7.8651,3420.47
7.9622,7.9622,3432.347
8.0593,8.0593,3374.737
8.1564,8.1564,3377.659
8.2535,8.2535,3444.182
8.3506,8.3506,3410.143
8.4477,8.4477,3316.897
8.5448,8.5448,3278.36
8.6419,8.6419,3291.996
8.739,8.739,3292.049
8.8361,8.8361,3313.372
8.9332,8.9332,3262.249
9.0303,9.0303,3274.04
9.1273,0.097,3355.004
9.2243,0.194,3300.566
9.3213,0.291,3292.352
9.4183,0.388,3289.065
9.5163,0.486,3264.674
9.6133,0.583,3201.273
9.7103,0.68,3099.049
9.8073,0.777,3032.368
9.9043,0.874,3025.395
10.0013,0.971,3218.956
10.0983,1.068,3255.723
10.1953,1.165,3158.68
10.2923,1.262,3154.613
10.3893,1.359,3259.03
10.4873,1.457,3401.155
10.5843,1.554,3530.844
10.6813,1.651,3542.884
10.7783,1.748,3570.975
10.8753,1.845,3579.708
10.9723,1.942,3582.99
11.0693,2.039,3569.961
11.1663,2.136,3538.205
11.2633,2.233,3538.009
11.3603,2.33,3597.747
11.4583,2.428,3622.308
11.5553,2.525,3585.076
11.6523,2.622,3560.051
11.7493,2.719,3527.833
11.8463,2.816,3635.139
11.9433,2.913,3684.753
12.0403,3.01,3686.001
