,top: 2019/4/27,,"Sample Site: -15.88476667, 54.52361667",,,,,,,,,,
,Sample name,Slab,Line,Sample No.,Distance from the top (mm),Sr407/Ca317,Age by OISSTR v2.1,YR,M,D,Age by OISSTR v2.1,,Sr/Ca
,TROM1,1,1,1,0.5,8.94944005384974,27/04/2019,2019,4,27,2019.32118412047,,
,TROM1,1,1,2,1,8.9179373215053,15/03/2019,2019,3,15,2019.20499657769,,
,TROM1,1,1,3,1.5,8.98943844778535,06/02/2019 19:12:00,2019,2,6,2019.09702258727,,
,TROM1,1,1,4,2,9.04303424783076,01/01/2019 14:24:00,2019,1,1,2019,,
,TROM1,1,1,5,2.5,9.1611994207208,26/11/2018 09:36:00,2018,11,26,2018.90177960301,,
,TROM1,1,1,6,3,9.23676328070261,21/10/2018 04:48:00,2018,10,21,2018.80475701574,,
,TROM1,1,1,7,3.5,9.28353967627226,15/09/2018,2018,9,15,2018.70499657769,,
,TROM1,1,1,8,4,9.27621808389608,24/07/2018,2018,7,24,2018.5629705681,,
,TROM1,1,1,9,4.5,9.2050139529248,01/06/2018,2018,6,1,2018.41666666667,,
,TROM1,1,1,10,5,9.13578450135524,09/04/2018,2018,4,9,2018.2719028063,,
,TROM1,1,1,11,5.5,9.12499216352632,15/02/2018,2018,2,15,2018.12166324435,,
,TROM1,1,1,12,6,9.18045955396538,09/01/2018 04:48:00,2018,1,9,2018.0219028063,,
,TROM1,1,1,13,6.5,9.22087041507285,03/12/2017 09:36:00,2017,12,3,2017.92214236824,,
,TROM1,1,1,14,7,9.2079860630592,27/10/2017 14:24:00,2017,10,27,2017.82118412047,,
,TROM1,1,1,15,7.5,9.26424427404134,20/09/2017 19:12:00,2017,9,20,2017.71868583162,,
,TROM1,1,1,16,8,9.29080084921285,15/08/2017,2017,8,15,2017.62166324435,,Sr/Ca Age Model
,TROM1,1,1,17,8.5,9.26619858744486,30/07/2017 16:48:00,2017,7,30,2017.57939767283,,
,TROM1,1,1,18,9,9.23509567879021,15/07/2017 09:36:00,2017,7,15,2017.53832991102,,
,TROM1,1,1,19,9.5,9.17252027519421,30/06/2017 02:24:00,2017,6,30,2017.49606433949,,
,TROM1,1,1,20,10,9.11177310903836,14/06/2017 19:12:00,2017,6,14,2017.4522587269,,
,TROM1,1,1,21,10.5,9.09660762554593,30/05/2017 12:00:00,2017,5,30,2017.41273100616,,
,TROM1,1,1,22,11,9.0945959542556,15/05/2017 04:48:00,2017,5,15,2017.37166324435,,
,TROM1,1,1,23,11.5,9.01582451742221,29/04/2017 21:36:00,2017,4,29,2017.32665982204,,
,TROM1,1,1,24,12,9.02746622778195,14/04/2017 14:24:00,2017,4,14,2017.28559206023,,
,TROM1,1,1,25,12.5,9.02283554995535,30/03/2017 07:12:00,2017,3,30,2017.24606433949,,
,TROM1,1,1,26,13,9.00116207320552,15/03/2017,2017,3,15,2017.20499657769,,
