Time,SST_W,SST_E
01/01/1991,27.95159,28.16269
01/02/1991,28.24051,28.48497
01/03/1991,28.82961,28.27862
01/04/1991,30.09538,28.59515
01/05/1991,29.77098,28.51364
01/06/1991,27.98594,28.62887
01/07/1991,26.9822,29.17627
01/08/1991,26.77106,29.01132
01/09/1991,27.47952,29.02094
01/10/1991,27.99363,28.61415
01/11/1991,28.14395,28.06573
01/12/1991,27.93952,27.9501
01/01/1992,27.69796,27.60153
01/02/1992,27.74802,27.98119
01/03/1992,28.41722,28.07292
01/04/1992,29.19012,28.05336
01/05/1992,29.35723,28.7697
01/06/1992,28.02977,28.61625
01/07/1992,27.33215,29.18225
01/08/1992,26.54351,29.48466
01/09/1992,26.89452,29.77202
01/10/1992,27.6701,29.46736
01/11/1992,28.09982,28.97257
01/12/1992,27.78932,28.2935
01/01/1993,27.45099,28.08598
01/02/1993,27.88964,28.23575
01/03/1993,28.40229,28.25123
01/04/1993,28.94996,28.33127
01/05/1993,29.44973,28.20565
01/06/1993,28.11673,28.51957
01/07/1993,27.23765,28.7647
01/08/1993,26.82822,28.87782
01/09/1993,27.05268,29.0011
01/10/1993,27.61682,28.9492
01/11/1993,28.12547,28.17928
01/12/1993,27.82402,27.89985
01/01/1994,27.91453,27.97078
01/02/1994,27.72117,27.89367
01/03/1994,28.51768,28.51586
01/04/1994,29.47842,28.57133
01/05/1994,29.41583,28.33238
01/06/1994,27.76359,28.42045
01/07/1994,27.0446,28.37596
01/08/1994,26.88252,28.68992
01/09/1994,27.08261,28.76334
01/10/1994,28.16365,28.25934
01/11/1994,27.8419,27.41759
01/12/1994,27.6364,26.72515
01/01/1995,27.45778,26.609
01/02/1995,28.0753,26.5812
01/03/1995,28.62938,27.77675
01/04/1995,29.22863,28.18936
01/05/1995,29.31025,28.28136
01/06/1995,28.0991,28.0339
01/07/1995,27.18123,28.53185
01/08/1995,26.93594,28.96185
01/09/1995,27.26256,29.10268
01/10/1995,27.90716,28.95382
01/11/1995,27.96687,28.88068
01/12/1995,28.05702,28.24356
01/01/1996,27.85374,27.85002
01/02/1996,28.11613,28.1689
01/03/1996,28.73873,28.66915
01/04/1996,29.16914,28.01473
01/05/1996,29.00346,28.17111
01/06/1996,27.76671,28.22171
01/07/1996,26.76046,28.99627
01/08/1996,26.42835,29.30483
01/09/1996,27.05609,29.33658
01/10/1996,27.17397,28.96886
01/11/1996,27.63116,28.52084
01/12/1996,27.72471,28.37848
01/01/1997,27.46688,28.10497
01/02/1997,27.5584,28.48807
01/03/1997,28.55142,28.64443
01/04/1997,29.4114,28.41407
01/05/1997,29.07691,28.17018
01/06/1997,28.22861,27.88785
01/07/1997,27.45532,28.6721
01/08/1997,27.15514,29.25895
01/09/1997,27.57009,29.2375
