"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"1" 1985 1 2 27.96 28.27 27.97 -0.0239 0 0 0
"2" 1985 1 3 28.09 28.29 28.12 0.1126 0 0 0
"3" 1985 1 4 28.22 28.32 28.26 0.239 0 0 0
"4" 1985 1 5 28.26 28.34 28.3 0.2655 0 0 0
"5" 1985 1 6 28.29 28.56 28.31 0.2735 0 0 0
"6" 1985 1 7 28.25 28.79 28.68 0.4219 0 0 0
"7" 1985 1 8 28.34 29.04 28.95 0.6684 0 0 0
"8" 1985 1 9 28.52 29.3 29.21 0.9148 0.18 0 0
"9" 1985 1 10 28.55 29.51 29.39 1.1174 0.39 0 0
"10" 1985 1 11 28.57 29.46 29.36 1.0806 0.35 0 0
"11" 1985 1 12 28.55 29.39 29.29 1.0055 0.28 0 0
"12" 1985 1 13 28.52 29.33 29.26 0.9216 0.22 0 0
"13" 1985 1 14 28.49 29.27 29.18 0.8752 0.17 0 0
"14" 1985 1 15 28.26 29.05 28.7 0.49 0 0 0
"15" 1985 1 16 27.4 28.16 28.07 -0.1765 0 0 0
"16" 1985 1 17 27.04 27.95 27.79 -0.4523 0 0 0
"17" 1985 1 18 27.83 28.55 28.35 0.0897 0 0 0
"18" 1985 1 19 27.98 28.49 28.29 0.0242 0 0 0
"19" 1985 1 20 27.84 28.2 27.99 -0.2574 0 0 0
"20" 1985 1 21 27.52 28.01 27.76 -0.4729 0 0 0
"21" 1985 1 22 27.36 27.94 27.9 -0.5432 0 0 0
"22" 1985 1 23 27.54 28.02 27.7 -0.5465 0 0 0
"23" 1985 1 24 27.82 28.37 28.35 -0.1355 0 0 0
"24" 1985 1 25 28.22 28.77 28.32 0.0916 0 0 0
"25" 1985 1 26 28.31 28.93 28.89 0.3777 0 0 0
"26" 1985 1 27 28.73 29.12 29.08 0.7168 0.14 0 0
"27" 1985 1 28 28.33 28.75 28.57 0.2987 0 0 0
"28" 1985 1 29 28.13 28.59 28.28 0.0523 0 0 0
"29" 1985 1 30 28.19 28.68 28.36 0.0777 0 0 0
"30" 1985 1 31 28.03 28.54 28.51 0.0348 0 0 0
"31" 1985 2 1 28.06 28.57 28.5 0.0771 0 0 0
"32" 1985 2 2 28.12 28.61 28.52 0.0968 0 0 0
"33" 1985 2 3 28.46 28.88 28.87 0.3955 0 0 0
"34" 1985 2 4 28.46 28.86 28.83 0.3713 0 0 0
"35" 1985 2 5 27.97 28.7 28.67 0.3548 0 0 0
"36" 1985 2 6 28.13 28.76 28.61 0.2694 0 0 0
"37" 1985 2 7 28.15 28.83 28.68 0.309 0 0 0
"38" 1985 2 8 28.39 29.2 29.06 0.481 0 0 0
"39" 1985 2 9 28.46 29.23 28.97 0.4158 0 0 0
"40" 1985 2 10 28.44 29.25 28.68 0.329 0 0 0
"41" 1985 2 11 28.39 29.23 29.01 0.4074 0 0 0
"42" 1985 2 12 28.31 29.12 28.87 0.2939 0 0 0
"43" 1985 2 13 28.22 29.03 28.86 0.2387 0 0 0
"44" 1985 2 14 27.35 28.31 27.61 -0.7148 0 0 0
"45" 1985 2 15 27.26 28.34 28.2 -0.43 0 0 0
"46" 1985 2 16 27.15 28.3 28.01 -0.655 0 0 0
"47" 1985 2 17 27.09 28.28 28.01 -0.67 0 0 0
"48" 1985 2 18 27.17 28.28 28.04 -0.655 0 0 0
"49" 1985 2 19 27.21 28.28 28.06 -0.65 0 0 0
"50" 1985 2 20 27.28 28.27 28.14 -0.6032 0 0 0
"51" 1985 2 21 27.32 28.16 28.03 -0.7021 0 0 0
"52" 1985 2 22 26.77 27.36 26.99 -1.52 0 0 0
