"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"1" 1985 1 1 28.25 29 28.78 0.1342 0 0 0
"2" 1985 1 2 28.2 29.2 28.9 0.2461 0 0 0
"3" 1985 1 3 28.05 29.23 28.9 0.2326 0 0 0
"4" 1985 1 4 27.98 29.16 28.85 0.169 0 0 0
"5" 1985 1 5 27.47 28.76 28.63 -0.551 0 0 0
"6" 1985 1 6 27.88 28.77 28.53 -0.5984 0 0 0
"7" 1985 1 7 28.07 28.78 28.27 -0.4316 0 0 0
"8" 1985 1 8 28.21 29.2 29.11 0.07 0 0 0
"9" 1985 1 9 28.14 29.18 29.1 0.06 0 0 0
"10" 1985 1 10 28.1 28.92 28.82 -0.2132 0 0 0
"11" 1985 1 11 28.17 28.96 28.44 -0.2545 0 0 0
"12" 1985 1 12 28.23 28.84 28.41 -0.2694 0 0 0
"13" 1985 1 13 27.89 28.71 28.3 -0.3829 0 0 0
"14" 1985 1 14 28.26 29.16 29.06 0.0923 0 0 0
"15" 1985 1 15 28.04 29.13 29 0.02 0 0 0
"16" 1985 1 16 27.85 29.3 29.17 0.1426 0 0 0
"17" 1985 1 17 27.75 29.23 29.1 0.0845 0 0 0
"18" 1985 1 18 27.51 28.95 28.88 -0.1181 0 0 0
"19" 1985 1 19 27.51 29 28.95 -0.071 0 0 0
"20" 1985 1 20 27.65 28.85 28.8 -0.2171 0 0 0
"21" 1985 1 21 27.72 28.75 28.66 -0.3374 0 0 0
"22" 1985 1 22 27.8 28.66 28.62 -0.3623 0 0 0
"23" 1985 1 23 27.39 28.68 28.58 -0.41 0 0 0
"24" 1985 1 24 27.42 28.59 28.46 -0.5497 0 0 0
"25" 1985 1 25 27.51 28.61 28.41 -0.6339 0 0 0
"26" 1985 1 26 27.28 28.68 28.43 -0.6123 0 0 0
"27" 1985 1 27 27.15 28.79 28.39 -0.6445 0 0 0
"28" 1985 1 28 27.51 28.88 28.45 -0.589 0 0 0
"29" 1985 1 29 27.54 28.95 28.51 -0.5274 0 0 0
"30" 1985 1 30 27.5 28.81 28.56 -0.5929 0 0 0
"31" 1985 1 31 27.52 28.79 28.71 -0.2406 0 0 0
"32" 1985 2 1 27.47 28.79 28.7 -0.2619 0 0 0
"33" 1985 2 2 27.26 28.38 28.32 -0.67 0 0 0
"34" 1985 2 3 27.14 27.93 27.78 -1.1855 0 0 0
"35" 1985 2 4 27.05 27.97 27.68 -1.2713 0 0 0
"36" 1985 2 5 27.2 27.98 27.76 -1.2629 0 0 0
