"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"1" 1985 1 2 25.91 26.01 26 -0.2219 0 0 0
"2" 1985 1 3 25.95 26.04 26.01 -0.2248 0 0 0
"3" 1985 1 4 26.29 26.47 26.42 0.2477 0 0 0
"4" 1985 1 5 26.27 26.41 26.37 0.1661 0 0 0
"5" 1985 1 6 26.2 26.26 26.24 3e-04 0 0 0
"6" 1985 1 7 26.27 26.31 26.3 0.0281 0 0 0
"7" 1985 1 8 26.24 26.35 26.33 0.0258 0 0 0
"8" 1985 1 9 26.07 26.18 26.13 -0.2065 0 0 0
"9" 1985 1 10 26.1 26.22 26.19 -0.1719 0 0 0
"10" 1985 1 11 26.16 26.26 26.23 -0.171 0 0 0
"11" 1985 1 12 26.45 26.56 26.55 0.1229 0 0 0
"12" 1985 1 13 26.35 26.47 26.46 -0.0155 0 0 0
"13" 1985 1 14 26.27 26.36 26.34 -0.1297 0 0 0
"14" 1985 1 15 26.37 26.45 26.43 -0.09 0 0 0
"15" 1985 1 16 26.64 26.73 26.66 0.0977 0 0 0
"16" 1985 1 17 26.81 27.05 26.99 0.3855 0 0 0
"17" 1985 1 18 26.99 27.15 27.11 0.4813 0 0 0
"18" 1985 1 19 27.13 27.3 27.29 0.6284 0 0 0
"19" 1985 1 20 27.05 27.2 27.19 0.4871 0 0 0
"20" 1985 1 21 26.34 26.51 26.48 -0.2597 0 0 0
"21" 1985 1 22 26.05 26.25 26.23 -0.5513 0 0 0
"22" 1985 1 23 26.24 26.38 26.36 -0.4529 0 0 0
"23" 1985 1 24 26.38 26.48 26.42 -0.3932 0 0 0
"24" 1985 1 25 26.46 26.54 26.53 -0.3394 0 0 0
"25" 1985 1 26 25.29 25.96 25.93 -0.9684 0 0 0
"26" 1985 1 27 25.5 26.31 26.28 -0.651 0 0 0
"27" 1985 1 28 25.72 26.52 26.48 -0.4894 0 0 0
"28" 1985 1 29 26.02 26.76 26.7 -0.2916 0 0 0
"29" 1985 1 30 25.76 26.37 26.25 -0.7739 0 0 0
"30" 1985 1 31 25.59 26.06 25.97 -1.0861 0 0 0
"31" 1985 2 1 25.82 26.11 26.05 -1.0484 0 0 0
"32" 1985 2 2 25.98 26.33 26.22 -0.8665 0 0 0
"33" 1985 2 3 26.49 26.9 26.79 -0.3629 0 0 0
"34" 1985 2 4 27.15 27.4 27.31 0.1248 0 0 0
"35" 1985 2 5 27.3 27.44 27.44 0.2158 0 0 0
"36" 1985 2 6 27.07 27.23 27.22 -0.0339 0 0 0
"37" 1985 2 7 27 27.16 27.13 -0.1594 0 0 0
"38" 1985 2 8 26.71 26.88 26.85 -0.4719 0 0 0
"39" 1985 2 9 26.96 27.17 27.11 -0.2242 0 0 0
"40" 1985 2 10 27.03 27.23 27.17 -0.1952 0 0 0
"41" 1985 2 11 27.12 27.3 27.25 -0.1461 0 0 0
"42" 1985 2 12 27.12 27.34 27.29 -0.1371 0 0 0
"43" 1985 2 13 27.24 27.48 27.42 -0.0381 0 0 0
"44" 1985 2 14 27.61 27.81 27.79 0.2819 0.02 0 0
"45" 1985 2 15 27.49 27.68 27.66 0.11 0 0 0
"46" 1985 2 16 26.9 27.08 27.05 -0.4982 0 0 0
"47" 1985 2 17 26.86 27.02 26.98 -0.5764 0 0 0
"48" 1985 2 18 26.81 26.92 26.84 -0.7104 0 0 0
"49" 1985 2 19 26.85 26.98 26.94 -0.5957 0 0 0
"50" 1985 2 20 27.41 27.61 27.54 -0.0239 0 0 0
"51" 1985 2 21 27.8 27.99 27.94 0.3807 0.2 0 0
"52" 1985 2 22 27.79 27.96 27.89 0.3125 0.17 0 0
"53" 1985 2 23 27.79 28.27 28.16 0.5414 0.37 0 0
"54" 1985 2 24 27.74 28.41 28.29 0.6629 0.5 0 0
"55" 1985 2 25 27.87 28.44 28.34 0.7143 0.56 0 0
"56" 1985 2 26 27.76 28.17 28.1 0.4657 0.32 0 0
"57" 1985 2 27 27.68 28.03 27.97 0.3271 0.19 0 0
"58" 1985 2 28 27.58 27.88 27.83 0.1786 0.05 0 0
"59" 1985 3 1 27.84 28.15 28.1 0.44 0.32 0 0
"60" 1985 3 2 27.85 28.16 28.12 0.4414 0.33 0 0
"61" 1985 3 3 28 28.25 28.23 0.5371 0.43 0 0
"62" 1985 3 4 28.02 28.2 28.18 0.4843 0.39 0 0
"63" 1985 3 5 28.16 28.43 28.4 0.6957 0.61 0 0
"64" 1985 3 6 28.51 28.78 28.73 1.0407 0.97 0 0
"65" 1985 3 7 28.32 28.52 28.48 0.7857 0.72 0 0
"66" 1985 3 8 27.99 28.1 28.08 0.3675 0.31 0 0
"67" 1985 3 9 28.14 28.28 28.24 0.5393 0.49 0 0
"68" 1985 3 10 28.1 28.34 28.3 0.5746 0.53 0 0
"69" 1985 3 11 27.64 27.87 27.82 0.0857 0.05 0 0
"70" 1985 3 12 27.74 27.91 27.87 0.1268 0.1 0 0
"71" 1985 3 13 28.03 28.2 28.18 0.4079 0.39 0 0
"72" 1985 3 14 28.02 28.23 28.15 0.3896 0.38 0 0
"73" 1985 3 15 27.85 28.09 28.04 0.29 0.29 0 0
