"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max" "date"
"1" 1985 1 1 26.63 27.68 26.68 -0.1406 0 0 0 1985-01-01
"2" 1985 1 2 26.61 27.72 27.66 0.0542 0 0 0 1985-01-02
"3" 1985 1 3 26.63 27.72 27.68 0.0284 0 0 0 1985-01-03
"4" 1985 1 4 26.67 27.72 26.84 -0.1748 0 0 0 1985-01-04
"5" 1985 1 5 27.07 27.88 27.78 0.741 0.22 0 0 1985-01-05
"6" 1985 1 6 27.08 27.95 27.89 0.8139 0.33 0 0 1985-01-06
"7" 1985 1 7 27.3 28.26 28.18 1.1365 0.65 0 0 1985-01-07
"8" 1985 1 8 27.35 28.22 28.21 1.0597 0.65 0 0 1985-01-08
"9" 1985 1 9 27.39 28.29 28.27 1.0865 0.73 0 0 1985-01-09
"10" 1985 1 10 27.4 28.2 28.19 0.9755 0.64 0 0 1985-01-10
"11" 1985 1 11 27.38 28.14 28.13 0.8784 0.58 0 0 1985-01-11
"12" 1985 1 12 27.46 28.08 28.07 0.7813 0.52 0 0 1985-01-12
"13" 1985 1 13 27.54 27.93 27.92 0.5655 0.35 0 0 1985-01-13
"14" 1985 1 14 27.62 27.84 27.81 0.3774 0.22 0 0 1985-01-14
"15" 1985 1 15 27.51 27.9 27.63 0.29 0.11 0 0 1985-01-15
"16" 1985 1 16 27.4 27.9 27.6 0.1261 0.01 0 0 1985-01-16
"17" 1985 1 17 27.32 27.92 27.52 0.0423 0 0 0 1985-01-17
"18" 1985 1 18 27.22 27.57 27.3 -0.0284 0 0 0 1985-01-18
"19" 1985 1 19 26.75 27.55 27.05 -0.3806 0 0 0 1985-01-19
"20" 1985 1 20 26.73 27.58 27.04 -0.421 0 0 0 1985-01-20
"21" 1985 1 21 26.11 27.46 26.3 -1.0748 0 0 0 1985-01-21
"22" 1985 1 22 26.26 27.37 26.48 -0.8952 0 0 0 1985-01-22
"23" 1985 1 23 26.38 27.52 26.62 -0.7861 0 0 0 1985-01-23
"24" 1985 1 24 26.35 27.55 26.57 -0.8406 0 0 0 1985-01-24
"25" 1985 1 25 26.32 27.6 26.55 -0.8852 0 0 0 1985-01-25
"26" 1985 1 26 26.18 27.6 27.46 -0.5903 0 0 0 1985-01-26
"27" 1985 1 27 26.22 27.81 27.69 -0.3758 0 0 0 1985-01-27
"28" 1985 1 28 26.26 27.62 27.5 -0.5813 0 0 0 1985-01-28
"29" 1985 1 29 26.1 27.65 27.57 -0.5268 0 0 0 1985-01-29
"30" 1985 1 30 25.97 27.65 27.56 -0.5574 0 0 0 1985-01-30
"31" 1985 1 31 26.55 27.86 26.99 -0.5926 0 0 0 1985-01-31
"32" 1985 2 1 27.29 28.69 28.62 0.4803 0.16 0 0 1985-02-01
"33" 1985 2 2 27.74 29.32 29.27 1.1029 0.79 0 0 1985-02-02
"34" 1985 2 3 27.53 29.11 29.02 0.8397 0.55 0 0 1985-02-03
"35" 1985 2 4 27.37 29.08 28.97 0.781 0.51 0 0 1985-02-04
"36" 1985 2 5 27.45 28.88 28.77 0.5648 0.3 0 0 1985-02-05
"37" 1985 2 6 27.56 28.74 28.01 0.3287 0.23 0 0 1985-02-06
"38" 1985 2 7 27.7 28.68 28.14 0.4477 0.36 0 0 1985-02-07
"39" 1985 2 8 27.57 28.65 28 0.2923 0.22 0 0 1985-02-08
"40" 1985 2 9 27.48 28.54 27.89 0.1719 0.11 0 0 1985-02-09
"41" 1985 2 10 27.45 28.5 27.86 0.1316 0.08 0 0 1985-02-10
"42" 1985 2 11 27.37 28.46 27.77 0.0313 0 0 0 1985-02-11
"43" 1985 2 12 27.31 28.13 27.75 0.001 0 0 0 1985-02-12
"44" 1985 2 13 27.03 28.07 27.56 -0.1994 0 0 0 1985-02-13
"45" 1985 2 14 26.79 28.02 27.4 -0.369 0 0 0 1985-02-14
"46" 1985 2 15 26.74 28.05 27.39 -0.39 0 0 0 1985-02-15
"47" 1985 2 16 26.85 28.07 28.07 -0.3021 0 0 0 1985-02-16
"48" 1985 2 17 26.95 27.54 27.4 -0.3729 0 0 0 1985-02-17
"49" 1985 2 18 26.78 27.43 26.83 -0.6486 0 0 0 1985-02-18
"50" 1985 2 19 26.89 27.46 26.93 -0.5714 0 0 0 1985-02-19
"51" 1985 2 20 26.84 27.5 26.85 -0.6461 0 0 0 1985-02-20
"52" 1985 2 21 26.8 27.26 26.81 -0.6793 0 0 0 1985-02-21
"53" 1985 2 22 26.45 27.18 26.66 -0.8325 0 0 0 1985-02-22
"54" 1985 2 23 26.43 27.09 26.64 -0.8457 0 0 0 1985-02-23
"55" 1985 2 24 26.34 27.07 26.6 -0.8789 0 0 0 1985-02-24
"56" 1985 2 25 26.24 26.81 26.63 -0.8321 0 0 0 1985-02-25
"57" 1985 2 26 26.5 27.53 27.39 -0.1093 0 0 0 1985-02-26
"58" 1985 2 27 26.59 27.54 27.41 -0.1071 0 0 0 1985-02-27
"59" 1985 2 28 26.79 27.48 27.16 -0.3118 0 0 0 1985-02-28
"60" 1985 3 1 26.9 28.1 27.28 -0.2 0 0 0 1985-03-01
"61" 1985 3 2 27.2 28.26 27.39 -0.0682 0 0 0 1985-03-02
"62" 1985 3 3 27.56 28.51 27.73 0.2929 0.19 0 0 1985-03-03
"63" 1985 3 4 27.83 28.61 28.05 0.6054 0.49 0 0 1985-03-04
"64" 1985 3 5 28.14 28.55 28.27 0.8693 0.76 0 0 1985-03-05
"65" 1985 3 6 28.14 28.39 28.23 0.8089 0.68 0 0 1985-03-06
"66" 1985 3 7 27.32 27.81 27.4 -0.0243 0 0 0 1985-03-07
"67" 1985 3 8 26.83 28.11 27.27 -0.3 0 0 0 1985-03-08
"68" 1985 3 9 26.98 28.12 27.46 -0.12 0 0 0 1985-03-09
"69" 1985 3 10 27.35 28.31 27.73 0.2996 0.16 0 0 1985-03-10
"70" 1985 3 11 27.66 28.53 28.18 0.6014 0.49 0 0 1985-03-11
"71" 1985 3 12 27.78 28.97 28.12 0.7107 0.55 0 0 1985-03-12
"72" 1985 3 13 27.24 28.71 28.62 0.1664 0.16 0 0 1985-03-13
"73" 1985 3 14 27.03 28.59 28.49 0.0239 0.02 0 0 1985-03-14
"74" 1985 3 15 27 28.59 28.49 0.02 0.02 0 0 1985-03-15
"75" 1985 3 16 26.81 28.18 28.11 -0.3358 0 0 0 1985-03-16
"76" 1985 3 17 26.97 28.26 28.16 -0.2716 0 0 0 1985-03-17
"77" 1985 3 18 27.38 28.31 27.56 0.2103 0 0 0 1985-03-18
"78" 1985 3 19 27.57 28.01 27.73 0.3971 0.16 0 0 1985-03-19
"79" 1985 3 20 27.36 27.75 27.56 0.279 0.01 0 0 1985-03-20
"80" 1985 3 21 27.56 27.92 27.66 0.4429 0.16 0 0 1985-03-21
"81" 1985 3 22 27.43 27.98 27.78 0.5029 0.21 0 0 1985-03-22
"82" 1985 3 23 27.66 28.39 28.15 0.9265 0.61 0 0 1985-03-23
"83" 1985 3 24 27.7 28.47 28.33 1.1123 0.78 0 0 1985-03-24
"84" 1985 3 25 27.77 28.45 28.28 1.0781 0.74 0 0 1985-03-25
"85" 1985 3 26 27.77 28.29 28.12 0.9574 0.61 0 0 1985-03-26
"86" 1985 3 27 26.93 27.92 27.18 0.0035 0 0 0 1985-03-27
