"","n","mean","sd","es","Year"
"2010",136,1.28110195630372,0.0944842695538093,0.0263578693397428,"2010"
"2011",106,1.22385787369017,0.113838863637905,0.0327711999132442,"2011"
"2012",128,1.17652828126219,0.0605057778847885,0.0217416970295538,"2012"
"2013",116,1.18699916821366,0.0675183168081586,0.0241258047584479,"2013"
"2014",78,1.24852610004174,0.0890391814909532,0.0337865057061652,"2014"
"2015",123,1.20375406371231,0.0785217416089053,0.0252663440798591,"2015"
"2016",160,1.20181277565215,0.0558333221928821,0.0186804246125593,"2016"
"2017",195,1.23791658126105,0.102912025065584,0.0229728965238452,"2017"
"2018",135,1.22397442529101,0.0886204829720939,0.0256212416173672,"2018"
"2019",49,1.40608552145669,0.158333281787546,0.0568444497295202,"2019"
