"distance" "date" "SrCa_ratio"
0.5 2019-04-26 8.94944005384974
1 2019-03-16 8.9179373215053
1.5 2019-02-02 8.98943844778535
2 2018-12-23 9.04303424783076
2.5 2018-11-11 9.1611994207208
3 2018-10-01 9.23676328070261
3.5 2018-08-26 9.28353967627226
4 2018-07-22 9.27621808389608
4.5 2018-06-16 9.2050139529248
5 2018-05-11 9.13578450135524
5.5 2018-04-06 9.12499216352632
6 2018-03-01 9.18045955396538
6.5 2018-01-22 9.22087041507285
7 2017-12-16 9.2079860630592
7.5 2017-11-08 9.26424427404134
8 2017-10-01 9.29080084921285
8.5 2017-09-09 9.26619858744486
9 2017-08-19 9.23509567879021
9.5 2017-07-29 9.17252027519421
10 2017-07-07 9.11177310903836
10.5 2017-06-16 9.09660762554593
11 2017-05-26 9.0945959542556
11.5 2017-05-04 9.01582451742221
12 2017-04-13 9.02746622778195
12.5 2017-03-23 9.02283554995535
13 2017-03-01 9.00116207320552
13.5 2017-02-12 9.00968629765751
14 2017-01-27 9.00822374566967
14.5 2017-01-10 9.04757499487302
15 2016-12-23 9.07439416072624
15.5 2016-12-06 9.095265513531
16 2016-11-19 9.12802565884473
16.5 2016-11-02 9.13333232715782
17 2016-10-17 9.13920830794653
17.5 2016-09-30 9.1374381467109
18 2016-07-21 9.0569205498658
18.5 2016-05-10 9.01406671003645
19 2016-02-29 9.00248543793067
19.5 2016-02-04 9.01697080201157
20 2016-01-10 9.03279613348294
20.5 2015-12-16 9.02806311916452
21 2015-11-20 9.05635907014222
21.5 2015-10-26 9.06302811879944
22 2015-10-01 9.07680748615001
22.5 2015-09-07 9.05750157125117
23 2015-08-14 9.06255896213562
23.5 2015-07-22 9.02163424218198
24 2015-06-28 8.98810424858426
24.5 2015-06-04 8.95907335598002
25 2015-05-11 8.93874437354975
25.5 2015-04-18 8.95092941153871
26 2015-03-25 8.97738386985048
26.5 2015-03-01 8.99200151673552
27 2015-02-16 8.98324533095362
27.5 2015-02-02 8.96792535234191
28 2015-01-19 8.94828441732695
28.5 2015-01-05 8.95394277869082
29 2014-12-22 8.98657507827912
29.5 2014-12-09 9.02967750779452
30 2014-11-25 9.04170342581715
30.5 2014-11-11 9.06152452042281
31 2014-10-28 9.07980965234409
31.5 2014-10-15 9.10020462110903
32 2014-10-01 9.14404141611027
32.5 2014-09-16 9.12319548324361
33 2014-08-31 9.09769073456059
33.5 2014-08-16 9.07191627273431
34 2014-08-01 9.0418975809111
34.5 2014-07-17 9.00808119737841
35 2014-07-01 9.00434262463992
35.5 2014-06-16 8.95169771193744
36 2014-06-01 8.95990313623004
36.5 2014-05-17 8.93578834433147
37 2014-05-01 8.93516183821183
37.5 2014-04-16 8.92113411689891
38 2014-04-01 8.91302549802295
38.5 2014-03-17 8.95042790894209
39 2014-03-01 8.95554734980679
39.5 2014-02-08 8.94976274560806
40 2014-01-17 8.92767983744638
40.5 2013-12-26 8.9424058598602
41 2013-12-05 9.0110400671188
41.5 2013-11-13 9.01510044404854
42 2013-10-22 9.05329786538323
42.5 2013-10-01 9.08214616302938
43 2013-09-09 9.09943588569875
43.5 2013-08-19 9.08805976035364
44 2013-07-29 9.06927844096932
44.5 2013-07-07 9.06400578556678
45 2013-06-16 9.0086533850512
45.5 2013-05-26 8.99873185991073
46 2013-05-04 8.94943313451445
46.5 2013-04-13 8.92781245553532
47 2013-03-23 8.93460865361817
47.5 2013-03-01 8.95271253406689
48 2013-02-17 8.97187043360822
48.5 2013-02-04 8.99476944624055
49 2013-01-22 9.00349716413674
49.5 2013-01-10 8.97932501645403
50 2012-12-27 8.9711552154828
50.5 2012-12-15 8.994039014763
51 2012-12-02 9.02963695179702
51.5 2012-11-19 9.06861253676481
52 2012-11-07 9.101507863294
52.5 2012-10-25 9.10817105031914
53 2012-10-12 9.12067971435168
53.5 2012-09-30 9.1257881530428
54 2012-09-08 9.11758746479486
54.5 2012-08-18 9.11229463084878
55 2012-07-28 9.10053591979877
55.5 2012-07-06 9.04374623533399
56 2012-06-15 9.03462820740625
56.5 2012-05-25 8.97727443336255
57 2012-05-03 8.96731162071853
57.5 2012-04-12 8.98486891786383
58 2012-03-22 8.9614438432207
58.5 2012-02-29 8.97709935127129
59 2012-02-10 8.96389640551237
59.5 2012-01-22 8.95753317960222
60 2012-01-03 8.94624195084369
60.5 2011-12-16 8.99763815904482
61 2011-11-27 9.01205746248204
61.5 2011-11-08 9.09033342082209
62 2011-10-20 9.13737022867776
62.5 2011-10-01 9.12031741415578
63 2011-09-07 9.08920328952239
63.5 2011-08-14 9.05213205629267
64 2011-07-22 8.99057541630665
64.5 2011-06-28 8.93327102713603
65 2011-06-04 8.9353414589839
65.5 2011-05-11 8.93723314108373
66 2011-04-18 8.94912328326262
66.5 2011-03-25 8.96386088455962
67 2011-03-01 8.97156119567233
67.5 2011-02-10 8.96662978034502
68 2011-01-22 8.95672517685744
68.5 2011-01-03 8.96749359893328
69 2010-12-16 9.04069133738819
69.5 2010-11-27 9.03680177109498
70 2010-11-08 9.04855883406511
70.5 2010-10-20 9.08162594301981
71 2010-10-01 9.11474840309065
71.5 2010-09-04 9.11369203653999
72 2010-08-08 9.08698944735926
72.5 2010-07-13 9.07020544989562
73 2010-06-16 9.0374974811352
73.5 2010-05-20 9.01969632580898
74 2010-04-24 9.00662399199124
74.5 2010-03-28 8.9827380745399
75 2010-03-01 8.89996985816534
75.5 2010-02-12 8.96417632973037
76 2010-01-27 8.9347255479295
76.5 2010-01-10 8.93058627250943
77 2009-12-24 8.95084700045077
77.5 2009-12-07 8.99433967249028
78 2009-11-20 9.02731786109689
78.5 2009-11-03 9.06700221392088
79 2009-10-18 9.0944137698924
79.5 2009-10-01 9.10967559793244
