"distance" "date" "SrCa" "density" "SST"
0.5 2019-04-26 8.94944005384974 1.41571571010461 29.24
1 2019-03-01 8.9179373215053 1.4021611257699 29.21
1.5 2019-02-19 8.98943844778535 1.3496459633144 28.71
2 2019-02-08 9.04303424783076 1.40611966639339 28.79
2.5 2019-01-28 9.1611994207208 1.27252121367285 28.84
3 2019-01-17 9.23676328070261 1.45117492713258 28.49
3.5 2019-01-06 9.28353967627226 1.35290085886077 28.77
4 2018-12-26 9.27621808389608 1.2367242518609 28.98
4.5 2018-12-16 9.2050139529248 1.41252027213602 27.73
5 2018-12-05 9.13578450135524 1.34317291021576 27.88
5.5 2018-11-24 9.12499216352632 1.35939272801584 27.24
6 2018-11-13 9.18045955396538 1.35519009825 26.16
6.5 2018-11-02 9.22087041507285 1.54372794100809 26.35
7 2018-10-22 9.2079860630592 1.42893970788033 25.14
7.5 2018-10-12 9.26424427404134 1.43053750071514 24.4
8 2018-10-01 9.29080084921285 1.37565346691423 24.17
8.5 2018-09-09 9.26619858744486 1.36227714453709 24.02
9 2018-08-19 9.23509567879021 1.32541587282895 25.2
9.5 2018-07-29 9.17252027519421 1.36799429540612 25.27
10 2018-07-07 9.11177310903836 1.40108053447249 25.13
10.5 2018-06-16 9.09660762554593 1.33477286242049 25.86
11 2018-05-26 9.0945959542556 1.57486227929137 26.47
11.5 2018-05-04 9.01582451742221 1.42098158948423 27.93
12 2018-04-13 9.02746622778195 1.46697321673849 28.65
12.5 2018-03-23 9.02283554995535 1.36816371112691 27.84
13 2018-03-01 9.00116207320552 1.39812747125927 29.01
13.5 2018-02-10 9.00968629765751 1.40111202380493 29.34
14 2018-01-22 9.00822374566967 1.45928701400383 28.56
14.5 2018-01-03 9.04757499487302 1.47658229242823 28.34
15 2017-12-16 9.07439416072624 1.45112720387426 27.73
15.5 2017-11-27 9.095265513531 1.50592322896047 26.68
16 2017-11-08 9.12802565884473 1.50153956256768 26.54
16.5 2017-10-20 9.13333232715782 1.45357095700519 25.57
17 2017-10-01 9.13920830794653 1.46214168125505 25.63
17.5 2017-08-08 9.1374381467109 1.47779434291882 25.21
18 2017-06-16 9.0569205498658 1.47581864125024 25.9
18.5 2017-04-24 9.01406671003645 1.51715228165247 28.1
19 2017-03-01 9.00248543793067 1.46254913199069 28.94
19.5 2017-02-04 9.01697080201157 1.48196775161806 28.88
20 2017-01-10 9.03279613348294 1.50335049326616 27.71
20.5 2016-12-15 9.02806311916452 1.40916384268049 27.04
21 2016-11-19 9.05635907014222 1.50946481484674 25.85
21.5 2016-10-25 9.06302811879944 1.5364181167275 25.49
22 2016-09-30 9.07680748615001 1.47423709281065 24.94
22.5 2016-08-25 9.05750157125117 1.57526068172402 24.52
23 2016-07-21 9.06255896213562 1.59855756544148 24.75
23.5 2016-06-15 9.02163424218198 1.47324698949525 26.29
