transect_ID,distance,HU,relative_distance,Year
GLOM2_a1_1,0.6797,1,0.6797,2019
GLOM2_a1_1,0.7768,2,0.7768,2019
GLOM2_a1_1,0.8739,3,0.8739,2019
GLOM2_a1_1,0.971,4,0.971,2019
GLOM2_a1_1,1.0681,5,1.0681,2019
GLOM2_a1_1,1.1652,6,1.1652,2019
GLOM2_a1_1,1.2623,7,1.2623,2019
GLOM2_a1_1,1.3594,8,1.3594,2019
GLOM2_a1_1,1.4565,9,1.4565,2019
GLOM2_a1_1,1.5536,10,1.5536,2019
GLOM2_a1_1,1.6507,11,1.6507,2019
GLOM2_a1_1,1.7478,12,1.7478,2019
GLOM2_a1_1,1.8449,13,1.8449,2019
GLOM2_a1_1,1.942,14,1.942,2019
GLOM2_a1_1,2.0391,15,2.0391,2019
GLOM2_a1_1,2.1362,16,2.1362,2019
GLOM2_a1_1,2.2333,17,2.2333,2019
GLOM2_a1_1,2.3304,18,2.3304,2019
GLOM2_a1_1,2.4275,19,2.4275,2019
GLOM2_a1_1,2.5246,20,2.5246,2019
GLOM2_a1_1,2.6217,21,2.6217,2019
GLOM2_a1_1,2.7188,22,2.7188,2019
GLOM2_a1_1,2.8159,23,2.8159,2019
GLOM2_a1_1,2.913,24,2.913,2019
GLOM2_a1_1,3.0101,25,3.0101,2019
GLOM2_a1_1,3.1072,26,3.1072,2019
GLOM2_a1_1,3.2043,27,3.2043,2019
GLOM2_a1_1,3.3014,28,3.3014,2019
GLOM2_a1_1,3.3985,29,3.3985,2019
GLOM2_a1_1,3.4956,30,3.4956,2019
GLOM2_a1_1,3.5927,31,3.5927,2019
GLOM2_a1_1,3.6898,32,3.6898,2019
GLOM2_a1_1,3.7869,33,3.7869,2019
GLOM2_a1_1,3.884,34,3.884,2019
GLOM2_a1_1,3.9811,35,3.9811,2019
GLOM2_a1_1,4.0782,36,4.0782,2019
GLOM2_a1_1,4.1753,37,4.1753,2019
GLOM2_a1_1,4.2724,38,4.2724,2019
GLOM2_a1_1,4.3695,39,4.3695,2019
GLOM2_a1_1,4.4666,40,4.4666,2019
GLOM2_a1_1,4.5637,41,4.5637,2019
GLOM2_a1_1,4.6608,42,4.6608,2019
GLOM2_a1_1,4.7579,43,4.7579,2019
GLOM2_a1_1,4.855,44,4.855,2019
GLOM2_a1_1,4.9521,45,4.9521,2019
GLOM2_a1_1,5.0492,46,5.0492,2019
GLOM2_a1_1,5.1463,47,5.1463,2019
GLOM2_a1_1,5.2434,48,5.2434,2019
GLOM2_a1_1,5.3405,49,5.3405,2019
GLOM2_a1_1,5.4376,50,5.4376,2019
GLOM2_a1_1,5.5347,51,5.5347,2019
GLOM2_a1_1,5.6318,52,5.6318,2019
GLOM2_a1_1,5.7289,53,5.7289,2019
GLOM2_a1_1,5.826,54,5.826,2019
GLOM2_a1_1,5.9231,55,5.9231,2019
GLOM2_a1_1,6.0202,56,6.0202,2019
GLOM2_a1_1,6.1173,57,6.1173,2019
GLOM2_a1_1,6.2144,58,6.2144,2019
GLOM2_a1_1,6.3115,59,6.3115,2019
GLOM2_a1_1,6.4086,60,6.4086,2019
GLOM2_a1_1,6.5057,61,6.5057,2019
GLOM2_a1_1,6.6028,62,6.6028,2019
GLOM2_a1_1,6.6999,63,6.6999,2019
GLOM2_a1_1,6.797,64,6.797,2019
GLOM2_a1_1,6.8941,65,6.8941,2019
GLOM2_a1_1,6.9912,66,6.9912,2019
GLOM2_a1_1,7.0883,67,7.0883,2019
GLOM2_a1_1,7.1854,68,7.1854,2019
GLOM2_a1_1,7.2825,69,7.2825,2019
GLOM2_a1_1,7.3796,70,7.3796,2019
GLOM2_a1_1,7.4767,71,7.4767,2019
GLOM2_a1_1,7.5738,72,7.5738,2019
GLOM2_a1_1,7.6709,73,7.6709,2019
