transect_ID,distance,HU,relative_distance,Year,,,,HU,relative_distance,Year
TROM1,0,2444.271,0,2019,,,,,,
TROM1,0.0971,3152.532,0.0971,2019,,,,,,
TROM1,0.1942,3728.709,0.1942,2019,,,,,,
TROM1,0.2913,4364.948,0.2913,2019,,,,,,
TROM1,0.3884,4861.339,0.3884,2019,,,,,,
TROM1,0.4855,4960.17,0.4855,2019,,,,,,
TROM1,0.5826,4975.191,0.5826,2019,,,,,,
TROM1,0.6797,4958.702,0.6797,2019,,,,,,
TROM1,0.7768,4962.141,0.7768,2019,,,,,,
TROM1,0.8739,4970.557,0.8739,2019,,,,,,
TROM1,0.971,5036.74,0.971,2019,,,,,,
TROM1,1.0681,5127.54,1.0681,2019,,,,,,
TROM1,1.1652,5161.346,1.1652,2019,,,,,,
TROM1,1.2623,5195.856,1.2623,2019,,,,,,
TROM1,1.3594,5184.526,1.3594,2019,,,,,,
TROM1,1.4565,5215.936,1.4565,2019,,,,,,
TROM1,1.5536,5336.371,1.5536,2019,,,,,,
TROM1,1.6507,5276.812,1.6507,2019,,,,,,
TROM1,1.7478,5151.941,1.7478,2019,,,,,,
TROM1,1.8449,5100.249,1.8449,2019,,,,,,
TROM1,1.942,5071.82,1.942,2019,,,,,,
TROM1,2.0391,5082.195,2.0391,2019,,,,,,
TROM1,2.1362,5061.145,2.1362,2019,,,,,,
TROM1,2.2333,5002.001,2.2333,2019,,,,,,
TROM1,2.3304,4915.963,2.3304,2019,,,,,,
TROM1,2.4275,4820.929,2.4275,2019,,,,,,
TROM1,2.5246,4727.74,2.5246,2019,,,,,,
TROM1,2.6217,4687.377,2.6217,2019,,,,,,
TROM1,2.7188,4745.712,2.7188,2019,,,,,,
TROM1,2.8159,4740.673,2.8159,2019,,,,,,
TROM1,2.913,4739.222,2.913,2019,,,,,,
TROM1,3.0101,4726.461,3.0101,2019,,,,,,
TROM1,3.1072,4725.283,3.1072,2019,,,,,,
TROM1,3.2043,4486.983,3.2043,2019,,,,,,
TROM1,3.3014,4324.038,3.3014,2019,,,,,,
TROM1,3.3985,4381.548,3.3985,2019,,,,,,
TROM1,3.4956,4387.767,3.4956,2019,,,,,,
TROM1,3.5927,4281.268,3.5927,2019,,,,,,
TROM1,3.6898,4160.221,3.6898,2019,,,,,,
TROM1,3.7869,4075.316,3.7869,2019,,,,,,
TROM1,3.884,4100.487,3.884,2019,,,,,,
TROM1,3.9811,4091.63,3.9811,2019,,,,,,
TROM1,4.0782,4032.454,4.0782,2019,,,,,,
TROM1,4.1753,3980.945,4.1753,2019,,,,,,
TROM1,4.2724,3898.476,4.2724,2019,,,,,,
TROM1,4.3695,3824.772,4.3695,2019,,,,,,
TROM1,4.4666,3802.686,4.4666,2019,,,,,,
TROM1,4.5637,3677.981,4.5637,2019,,,,,,
TROM1,4.6608,3536.048,4.6608,2019,,,,,,
TROM1,4.7579,3408.581,0,2018,,,,,,
TROM1,4.855,3309.516,0.0971000000000002,2018,,,,,,
TROM1,4.9521,3239.243,0.194199999999999,2018,,,,,,
TROM1,5.0492,3255.725,0.2913,2018,,,,,,
TROM1,5.1463,3311.378,0.3884,2018,,,,,,
TROM1,5.2434,3342.773,0.4855,2018,,,,,,
TROM1,5.3405,3307.916,0.582599999999999,2018,,,,,,
TROM1,5.4376,3208.043,0.6797,2018,,,,,,
TROM1,5.5347,3155.492,0.7768,2018,,,,,,
TROM1,5.6318,3211.298,0.8739,2018,,,,,,
