date,SST_A
01/09/1981,-0.2045019
01/10/1981,-0.1374499
01/11/1981,-0.1012358
01/12/1981,-0.1946888
01/01/1982,-0.3201566
01/02/1982,-0.464787
01/03/1982,-0.4037261
01/04/1982,-0.3753066
01/05/1982,-0.4387277
01/06/1982,-0.4307241
01/07/1982,-0.4480978
01/08/1982,-0.5844263
01/09/1982,-0.5295869
01/10/1982,-0.2410105
01/11/1982,-0.1220009
01/12/1982,-0.07686128
01/01/1983,0.07668434
01/02/1983,-0.1201126
01/03/1983,-0.3103323
01/04/1983,-0.2878199
01/05/1983,-0.3610066
01/06/1983,-0.5059626
01/07/1983,-0.4488307
01/08/1983,-0.4498278
01/09/1983,-0.3876957
01/10/1983,-0.2615016
01/11/1983,-0.210567
01/12/1983,-0.1842962
01/01/1984,-0.15889
01/02/1984,-0.1686049
01/03/1984,-0.2381496
01/04/1984,-0.2171303
01/05/1984,-0.2729537
01/06/1984,-0.1595261
01/07/1984,-0.2270019
01/08/1984,-0.04275804
01/09/1984,0.1374576
01/10/1984,0.06295096
01/11/1984,0.1220919
01/12/1984,0.05377576
01/01/1985,-0.1240761
01/02/1985,-0.1839689
01/03/1985,-0.2096061
01/04/1985,-0.2736373
01/05/1985,-0.2179469
01/06/1985,-0.1759336
01/07/1985,-0.1171046
01/08/1985,-0.2173208
01/09/1985,-0.3151748
01/10/1985,-0.2300819
01/11/1985,-0.2863962
01/12/1985,-0.1511858
01/01/1986,-0.2013827
01/02/1986,-0.05149935
01/03/1986,-0.1117778
01/04/1986,-0.263746
01/05/1986,-0.1568832
01/06/1986,-0.2761587
01/07/1986,-0.2548249
01/08/1986,-0.3051654
01/09/1986,-0.3177467
01/10/1986,-0.305712
01/11/1986,-0.1260847
01/12/1986,-0.1435107
01/01/1987,-0.2411453
01/02/1987,-0.171424
01/03/1987,-0.1546162
01/04/1987,-0.1174552
01/05/1987,-0.2216032
01/06/1987,-0.2018615
01/07/1987,-0.09964316
01/08/1987,-0.1779633
01/09/1987,-0.1859336
01/10/1987,-0.1129419
01/11/1987,0.02981859
01/12/1987,-0.07640918
01/01/1988,0.09679961
01/02/1988,-0.008164892
01/03/1988,-0.1711826
01/04/1988,-0.0922446
01/05/1988,-0.03788279
01/06/1988,0.0152548
01/07/1988,-0.1644807
01/08/1988,-0.08504314
01/09/1988,-0.138193
01/10/1988,-0.2159922
01/11/1988,-0.2278426
01/12/1988,-0.2323366
01/01/1989,-0.02337288
01/02/1989,-0.1522422
01/03/1989,-0.04461085
01/04/1989,-0.0928074
01/05/1989,-0.0839396
01/06/1989,-0.2416092
01/07/1989,-0.2845129
01/08/1989,-0.239541
01/09/1989,-0.2542304
01/10/1989,-0.2465219
01/11/1989,-0.08173021
01/12/1989,-0.1546398
01/01/1990,-0.1734633
01/02/1990,0.1028408
01/03/1990,0.1153622
01/04/1990,0.1163054
01/05/1990,-0.01108242
01/06/1990,-0.02370254
01/07/1990,-0.1393031
01/08/1990,-0.1598481
01/09/1990,0.08055821
01/10/1990,0.1017633
01/11/1990,-0.01762504
01/12/1990,-0.0845918
01/01/1991,-0.1094352
01/02/1991,-0.1201455
01/03/1991,-0.0132336
01/04/1991,0.05727065
01/05/1991,-0.03164842
01/06/1991,-0.1942354
01/07/1991,-0.113343
01/08/1991,-0.1416973
01/09/1991,-0.1369711
01/10/1991,-0.345455
01/11/1991,-0.4610894
01/12/1991,-0.3969063
01/01/1992,-0.3545608
01/02/1992,-0.3527456
01/03/1992,-0.5302729
01/04/1992,-0.4456379
01/05/1992,-0.4331453
01/06/1992,-0.3188274
01/07/1992,-0.5297384
01/08/1992,-0.5883337
01/09/1992,-0.43231
01/10/1992,-0.4205664
01/11/1992,-0.3714123
01/12/1992,-0.2662311
01/01/1993,-0.08563574
01/02/1993,-0.2366429
01/03/1993,-0.2399133
01/04/1993,-0.1112511
01/05/1993,-0.2855727
01/06/1993,-0.2824348
01/07/1993,-0.365142
01/08/1993,-0.1986024
01/09/1993,-0.04124468
01/10/1993,0.05572532
01/11/1993,-0.02593886
01/12/1993,-0.03364225
01/01/1994,-0.1125294
01/02/1994,-0.2057478
01/03/1994,-0.116296
01/04/1994,-0.1748772
01/05/1994,-0.1640699
01/06/1994,-0.275012
01/07/1994,-0.1881843
01/08/1994,-0.1407444
01/09/1994,-0.3187988
01/10/1994,-0.3403773
01/11/1994,-0.08825539
01/12/1994,0.009650324
01/01/1995,-0.09647528
01/02/1995,-0.1121891
01/03/1995,-0.0661009
01/04/1995,0.0139638
01/05/1995,-0.1220944
01/06/1995,-0.03950453
01/07/1995,-0.1155914
01/08/1995,-0.1007126
01/09/1995,-0.1649014
01/10/1995,-0.06449211
01/11/1995,0.02188054
01/12/1995,-0.03930306
01/01/1996,-0.1618945
01/02/1996,-0.08710865
01/03/1996,-0.2151095
01/04/1996,-0.04364219
01/05/1996,-0.1680062
01/06/1996,-0.04719352
01/07/1996,-0.2198444
01/08/1996,-0.1551486
01/09/1996,-0.2517919
01/10/1996,-0.3368554
01/11/1996,-0.4752261
01/12/1996,-0.6579517
01/01/1997,-0.7626104
01/02/1997,-0.5842841
01/03/1997,-0.4618095
01/04/1997,-0.4281834
01/05/1997,-0.5365936
01/06/1997,-0.5914731
01/07/1997,-0.482734
01/08/1997,-0.214664
01/09/1997,-0.1042006
01/10/1997,0.04547548
01/11/1997,-0.08012076
01/12/1997,-0.05122145
01/01/1998,-0.1703448
01/02/1998,-0.009701047
01/03/1998,0.0071969
01/04/1998,0.05983065
01/05/1998,0.06787162
01/06/1998,-0.0397681
01/07/1998,0.03737724
01/08/1998,-0.004799541
01/09/1998,-0.1321664
01/10/1998,-0.2570868
01/11/1998,-0.07259857
01/12/1998,-0.2208388
01/01/1999,-0.1630059
01/02/1999,-0.05211053
01/03/1999,-0.1569209
01/04/1999,-0.003387453
01/05/1999,-0.01202429
01/06/1999,-0.01687124
01/07/1999,0.07143857
01/08/1999,-0.09260979
01/09/1999,0.007795967
01/10/1999,-0.1401203
01/11/1999,0.04531293
01/12/1999,-0.1296235
01/01/2000,-0.1824363
01/02/2000,-0.05153164
01/03/2000,-0.1870026
01/04/2000,-0.3255857
01/05/2000,-0.0767564
01/06/2000,-0.1469223
01/07/2000,-0.1544442
01/08/2000,-0.1219065
01/09/2000,-0.1684606
01/10/2000,-0.02928906
01/11/2000,-0.05868431
01/12/2000,0.07361031
01/01/2001,0.01144301
01/02/2001,-0.07731596
01/03/2001,-0.121408
01/04/2001,-0.1620117
01/05/2001,-0.02748671
01/06/2001,-0.1975162
01/07/2001,-0.1550402
01/08/2001,-0.2589547
01/09/2001,-0.2030533
01/10/2001,-0.1591249
01/11/2001,-0.04359633
01/12/2001,-0.004541697
01/01/2002,-0.2588109
01/02/2002,-0.2439523
01/03/2002,-0.03378562
01/04/2002,-0.03387658
01/05/2002,0.03824819
01/06/2002,0.140204
01/07/2002,0.1386581
01/08/2002,0.08136381
01/09/2002,0.05469267
01/10/2002,0.07138803
01/11/2002,-0.07245905
01/12/2002,-0.04967067
01/01/2003,0.08298612
01/02/2003,0.01652809
01/03/2003,0.1201503
01/04/2003,0.009412888
01/05/2003,0.006151472
01/06/2003,0.06505482
01/07/2003,0.2933518
