Time,Daily sea surface temperature
1 Sep 2018,27.8525
2 Sep 2018,27.94771
3 Sep 2018,27.96292
4 Sep 2018,27.9975
5 Sep 2018,27.94625
6 Sep 2018,27.88646
7 Sep 2018,27.75208
8 Sep 2018,27.72729
9 Sep 2018,27.80958
10 Sep 2018,27.82896
11 Sep 2018,27.83187
12 Sep 2018,27.89708
13 Sep 2018,27.79167
14 Sep 2018,27.28708
15 Sep 2018,27.06896
16 Sep 2018,26.96437
17 Sep 2018,26.96854
18 Sep 2018,26.87271
19 Sep 2018,26.80021
20 Sep 2018,27.20167
21 Sep 2018,27.45479
22 Sep 2018,27.41667
23 Sep 2018,27.46146
24 Sep 2018,27.54542
25 Sep 2018,27.52625
26 Sep 2018,27.56375
27 Sep 2018,27.47167
28 Sep 2018,27.63792
29 Sep 2018,27.55979
30 Sep 2018,27.86375
1 Oct 2018,28.14917
2 Oct 2018,28.04854
3 Oct 2018,28.28667
4 Oct 2018,28.33208
5 Oct 2018,28.33104
6 Oct 2018,28.29479
7 Oct 2018,28.23625
8 Oct 2018,28.30437
9 Oct 2018,28.38583
10 Oct 2018,28.46583
11 Oct 2018,28.38917
12 Oct 2018,28.27146
13 Oct 2018,28.30542
14 Oct 2018,28.27563
15 Oct 2018,28.39771
16 Oct 2018,28.21521
17 Oct 2018,28.18542
18 Oct 2018,28.31479
19 Oct 2018,28.27958
20 Oct 2018,28.31937
21 Oct 2018,28.38229
22 Oct 2018,28.39792
23 Oct 2018,28.62687
24 Oct 2018,28.74312
25 Oct 2018,28.84188
26 Oct 2018,28.8325
27 Oct 2018,28.7825
28 Oct 2018,28.70208
29 Oct 2018,28.83146
30 Oct 2018,28.82812
31 Oct 2018,28.66021
1 Nov 2018,28.92021
2 Nov 2018,29.38542
3 Nov 2018,29.48667
4 Nov 2018,29.47562
5 Nov 2018,29.46125
6 Nov 2018,29.44792
7 Nov 2018,29.43521
8 Nov 2018,29.52104
9 Nov 2018,29.76625
10 Nov 2018,29.80729
11 Nov 2018,29.78542
12 Nov 2018,29.76521
13 Nov 2018,29.72687
14 Nov 2018,29.49687
15 Nov 2018,29.2575
16 Nov 2018,29.23854
17 Nov 2018,29.01854
18 Nov 2018,28.79729
19 Nov 2018,28.67771
20 Nov 2018,28.67937
21 Nov 2018,28.85062
22 Nov 2018,28.92375
23 Nov 2018,28.95604
24 Nov 2018,28.91062
25 Nov 2018,28.73979
26 Nov 2018,29.15354
27 Nov 2018,29.395
28 Nov 2018,29.44729
29 Nov 2018,29.28979
30 Nov 2018,28.93729
1 Dec 2018,28.94417
2 Dec 2018,28.99937
3 Dec 2018,29.0025
4 Dec 2018,29.07229
5 Dec 2018,29.23417
6 Dec 2018,29.23208
7 Dec 2018,29.20687
8 Dec 2018,29.16083
9 Dec 2018,29.12917
10 Dec 2018,29.10521
11 Dec 2018,29.1525
12 Dec 2018,29.32625
13 Dec 2018,29.35833
14 Dec 2018,29.32896
15 Dec 2018,29.29854
16 Dec 2018,29.42479
17 Dec 2018,29.41333
18 Dec 2018,29.35188
19 Dec 2018,29.32562
20 Dec 2018,29.14833
21 Dec 2018,29.12042
22 Dec 2018,29.32187
23 Dec 2018,29.20667
24 Dec 2018,29.00542
25 Dec 2018,28.97062
26 Dec 2018,28.97437
27 Dec 2018,28.92354
28 Dec 2018,28.64271
29 Dec 2018,28.65958
30 Dec 2018,28.65187
31 Dec 2018,28.61854
1 Jan 2019,28.62604
2 Jan 2019,28.64937
3 Jan 2019,28.6325
4 Jan 2019,28.63292
5 Jan 2019,28.83167
6 Jan 2019,29.09375
7 Jan 2019,29.03667
8 Jan 2019,29.07375
9 Jan 2019,29.12542
10 Jan 2019,29.59812
11 Jan 2019,29.66438
12 Jan 2019,29.67188
13 Jan 2019,29.53729
14 Jan 2019,29.15562
15 Jan 2019,29.06667
16 Jan 2019,29.06083
17 Jan 2019,28.77458
18 Jan 2019,28.57229
19 Jan 2019,28.55979
20 Jan 2019,28.67208
21 Jan 2019,28.7
22 Jan 2019,28.87396
23 Jan 2019,28.87792
24 Jan 2019,28.92062
25 Jan 2019,28.93604
26 Jan 2019,28.87729
27 Jan 2019,28.86562
28 Jan 2019,28.83458
29 Jan 2019,28.91979
30 Jan 2019,28.9825
31 Jan 2019,28.96625
