"","n","mean","sd","es","Year"
"1985",81,0.650022901335906,0.00601902363288291,0.00862026297390603,"1985"
"2004",118,0.624566892288003,0.0087516733033796,0.00861201038724389,"2004"
"2005",99,0.596808329657877,0.00734842405560404,0.00861548057929226,"2005"
"2006",88,0.572887356331455,0.00653601367670759,0.00861817165585944,"2006"
"2007",90,0.550117659796144,0.00668372486321621,0.00861763364220661,"2007"
"2008",77,0.528755079338858,0.00572360002398793,0.00862162791147931,"2008"
"2009",77,0.509055454246511,0.00572360002398793,0.00862162791147931,"2009"
"2010",87,0.488076632719596,0.00646215804393223,0.00861844989925031,"2010"
"2011",86,0.465946534401569,0.00638830238359107,0.00861873458552415,"2011"
"2012",76,0.445223552161567,0.00564974402622921,0.00862199148614904,"2012"
"2013",112,0.421174659191688,0.00830854250485306,0.00861297946252644,"2013"
"2014",97,0.394439453709217,0.00720071327117869,0.00861592464189607,"2014"
"2015",103,0.368855525017857,0.00764384540378331,0.00861464400302572,"2015"
"2016",136,0.338282730231681,0.0100810635072756,0.00860961479772827,"2016"
"2017",48,0.31474551583563,0.00358175001679043,0.00863827482871825,"2017"
"2018",159,0.288266149640072,0.011779725393418,0.00860734124042053,"2018"
"2019",107,0.254239524480563,0.00793926648510476,0.00861386975738784,"2019"
