"distance" "date" "SrCa" "density" "SST"
0.5 2019-04-26 8.75450226051006 1.11432561183322 29.24
1 2019-03-29 8.72119735594779 1.38075207094507 29.1
1.5 2019-03-01 8.71784328537286 1.44345500985119 29.21
2 2019-02-21 8.72880550789013 1.46269936801029 28.76
2.5 2019-02-12 8.74639018949494 1.48351802176003 28.74
3 2019-02-04 8.76477116113859 1.48287759753227 28.62
3.5 2019-01-27 8.77671754437573 1.46655391015786 29.3
4 2019-01-18 8.78244741990326 1.40555910108966 28.76
4.5 2019-01-10 8.7935035261255 1.35075374654666 28.66
5 2019-01-01 8.78906192697776 1.27208790503932 28.52
5.5 2018-12-24 8.80483425867114 1.23949794394633 28.47
6 2018-12-16 8.82669795477682 1.15182199026578 27.73
6.5 2018-12-07 8.84200606769116 1.14618375373606 28.2
7 2018-11-29 8.86687327182812 1.17163598157942 28.01
7.5 2018-11-20 8.92390880959937 1.12593734317585 26.86
8 2018-11-12 8.94007565260814 1.11281571396843 26.35
8.5 2018-11-03 8.96812150312724 1.08370636179675 25.52
9 2018-10-26 8.98733453524543 1.07711093327049 25.77
9.5 2018-10-18 9.00607996816427 1.07669397798493 24.91
10 2018-10-09 9.01711891480701 1.06329593371928 24.59
10.5 2018-10-01 9.02184424005854 1.11491739837773 24.17
11 2018-09-14 8.92170911094227 1.15614192050356 24.22
11.5 2018-08-29 8.94417827301993 1.16305795510747 24.23
12 2018-08-13 8.89292182016643 1.18331541798354 25.27
12.5 2018-07-27 8.86258848108538 1.16883489241246 25.11
13 2018-07-11 8.8429258587875 1.28208085488232 24.7
13.5 2018-06-24 8.82615676254059 1.30785208483439 25.88
14 2018-06-08 8.81288900851647 1.32870402168008 26.25
14.5 2018-05-22 8.81736025666256 1.35162355510943 27.61
15 2018-05-06 8.8190285783464 1.42275626248071 27.79
15.5 2018-04-20 8.83908607447731 1.41758551733556 28.83
16 2018-04-03 8.82196500436281 1.37876630703716 28.09
16.5 2018-03-18 8.80979332699938 1.38991882369209 27.87
17 2018-03-01 8.80049422214967 1.41289374949208 29.01
17.5 2018-02-17 8.83869808822034 1.3344746751378 29.69
18 2018-02-04 8.82252004857861 1.2524700894017 29.39
18.5 2018-01-22 8.83225896163911 1.28724955858821 28.56
19 2018-01-10 8.84791915056876 1.25774462089675 27.82
19.5 2017-12-28 8.86814441623404 1.10558794210474 28.09
20 2017-12-16 8.87496840960079 1.20638644836102 27.73
20.5 2017-12-03 8.85773150002211 1.1609522234362 27.26
21 2017-11-20 8.90890726785831 1.16477375658276 26.58
21.5 2017-11-08 8.92905826430522 1.12931463898924 26.54
22 2017-10-26 8.9299454331707 1.11326410213275 25.83
22.5 2017-10-13 8.92585779371979 1.1861760546387 25.45
23 2017-10-01 8.94019332385066 1.17286362350782 25.63
23.5 2017-09-09 8.94008069766729 1.20556075792148 24.22
24 2017-08-19 8.93104727512661 1.22655458349944 25.1
24.5 2017-07-29 8.92491883314266 1.24570566595048 25.72
25 2017-07-07 8.8823814461518 1.27343360857424 25.97
25.5 2017-06-16 8.84744399172198 1.28546020305418 25.9
26 2017-05-26 8.82387724289685 1.30590557770381 27.49
26.5 2017-05-04 8.81287274939892 1.33077574571632 28.59
27 2017-04-13 8.80480867548293 1.31463731748241 28.4
27.5 2017-03-23 8.79085758610353 1.27046958119694 28.98
28 2017-03-01 8.78269590659171 1.25976206975864 28.94
28.5 2017-02-21 8.78979956278428 1.32050531280981 28.49
29 2017-02-13 8.80974105992067 1.30491431184297 29
29.5 2017-02-05 8.78857058820572 1.3293143679718 28.84
30 2017-01-28 8.80862656525918 1.32023779950303 28.44
30.5 2017-01-20 8.8133819713541 1.31152311616852 28.29
31 2017-01-12 8.82626891280649 1.35091014910413 27.88
31.5 2017-01-04 8.82867770262275 1.35371970731378 27.88
32 2016-12-27 8.83507994503261 1.36499576190282 27.58
32.5 2016-12-19 8.84693390204138 1.29467688985328 27.34
33 2016-12-11 8.86808419776969 1.30067967025229 26.9
33.5 2016-12-03 8.90326585163924 1.24476108936807 26.77
34 2016-11-25 8.93496726466096 1.17166270070745 26.11
34.5 2016-11-17 8.94061892777983 1.10839780231025 25.53
35 2016-11-09 8.95985718833772 1.04428095592261 25.77
35.5 2016-11-01 8.98104390068092 1.10333643241653 26.03
36 2016-10-24 9.01241579069066 1.05847135759195 25.31
36.5 2016-10-16 9.00273056682794 1.1818944193273 25.45
37 2016-10-08 9.01720961505417 1.13111950207658 25.51
37.5 2016-09-30 9.03363288514986 1.18506873894964 24.94
38 2016-07-21 8.99046360885797 1.12792079121138 24.75
38.5 2016-05-10 8.86462731621068 1.10603672535927 27.83
39 2016-02-29 8.86334587507814 1.14976003665794 29.4
