"distance" "date" "SrCa" "density" "SST"
0.5 2019-04-26 8.75450226051006 1.5100044305182 29.24
1 2019-03-29 8.72119735594779 1.53595813392762 29.1
1.5 2019-03-01 8.71784328537286 1.58866907398101 29.21
2 2019-02-21 8.72880550789013 1.53958050732367 28.76
2.5 2019-02-12 8.74639018949494 1.45600598386432 28.74
3 2019-02-04 8.76477116113859 1.44997820422311 28.62
3.5 2019-01-27 8.77671754437573 1.36175272672484 29.3
4 2019-01-18 8.78244741990326 1.28427707223952 28.76
4.5 2019-01-10 8.7935035261255 1.20232633939232 28.66
5 2019-01-01 8.78906192697776 1.07122996638489 28.52
5.5 2018-12-24 8.80483425867114 1.05252763972016 28.47
6 2018-12-16 8.82669795477682 1.16574471103662 27.73
6.5 2018-12-07 8.84200606769116 1.18169090187836 28.2
7 2018-11-29 8.86687327182812 1.10966321089644 28.01
7.5 2018-11-20 8.92390880959937 1.09738738162891 26.86
8 2018-11-12 8.94007565260814 1.14516019318168 26.35
8.5 2018-11-03 8.96812150312724 1.11044217381067 25.52
9 2018-10-26 8.98733453524543 1.14350605254727 25.77
9.5 2018-10-18 9.00607996816427 1.20997237418988 24.91
10 2018-10-09 9.01711891480701 1.2263616834192 24.59
10.5 2018-10-01 9.02184424005854 1.21906904435574 24.17
11 2018-09-14 8.92170911094227 1.23114864989633 24.22
11.5 2018-08-29 8.94417827301993 1.27812726516286 24.23
12 2018-08-13 8.89292182016643 1.27497115794503 25.27
12.5 2018-07-27 8.86258848108538 1.30109485852446 25.11
13 2018-07-11 8.8429258587875 1.33466413393964 24.7
13.5 2018-06-24 8.82615676254059 1.34635932659197 25.88
14 2018-06-08 8.81288900851647 1.32109323618951 26.25
14.5 2018-05-22 8.81736025666256 1.35182673651598 27.61
15 2018-05-06 8.8190285783464 1.34445992698209 27.79
15.5 2018-04-20 8.83908607447731 1.28503941587584 28.83
16 2018-04-03 8.82196500436281 1.28195781849095 28.09
16.5 2018-03-18 8.80979332699938 1.27689491814498 27.87
17 2018-03-01 8.80049422214967 1.21637380934921 29.01
17.5 2018-02-17 8.83869808822034 1.16695418349283 29.69
18 2018-02-04 8.82252004857861 1.1870835719512 29.39
18.5 2018-01-22 8.83225896163911 1.13188340521941 28.56
19 2018-01-10 8.84791915056876 1.12968633567702 27.82
19.5 2017-12-28 8.86814441623404 1.23978292414482 28.09
20 2017-12-16 8.87496840960079 1.16704269387386 27.73
20.5 2017-12-03 8.85773150002211 1.24528482837136 27.26
21 2017-11-20 8.90890726785831 1.24275462472326 26.58
21.5 2017-11-08 8.92905826430522 1.24805353457183 26.54
22 2017-10-26 8.9299454331707 1.21843519106102 25.83
22.5 2017-10-13 8.92585779371979 1.1730380728263 25.45
23 2017-10-01 8.94019332385066 1.20344189985966 25.63
23.5 2017-09-09 8.94008069766729 1.30244146400023 24.22
24 2017-08-19 8.93104727512661 1.29073116997948 25.1
24.5 2017-07-29 8.92491883314266 1.19609061484341 25.72
25 2017-07-07 8.8823814461518 1.26953124850479 25.97
25.5 2017-06-16 8.84744399172198 1.34209165748252 25.9
26 2017-05-26 8.82387724289685 1.31955203661192 27.49
26.5 2017-05-04 8.81287274939892 1.34896452540356 28.59
27 2017-04-13 8.80480867548293 1.29927121632632 28.4
27.5 2017-03-23 8.79085758610353 1.34259303266261 28.98
28 2017-03-01 8.78269590659171 1.35150967970939 28.94
28.5 2017-02-21 8.78979956278428 1.38186134477453 28.49
29 2017-02-13 8.80974105992067 1.39479952799142 29
29.5 2017-02-05 8.78857058820572 1.33794193370957 28.84
30 2017-01-28 8.80862656525918 1.32720497511802 28.44
30.5 2017-01-20 8.8133819713541 1.37046280528456 28.29
31 2017-01-12 8.82626891280649 1.38024264354618 27.88
31.5 2017-01-04 8.82867770262275 1.21983084917502 27.88
32 2016-12-27 8.83507994503261 1.20826466117766 27.58
32.5 2016-12-19 8.84693390204138 1.11643635419163 27.34
33 2016-12-11 8.86808419776969 1.14107359663299 26.9
33.5 2016-12-03 8.90326585163924 1.10411675137542 26.77
34 2016-11-25 8.93496726466096 1.0511752245057 26.11
34.5 2016-11-17 8.94061892777983 1.11136916781303 25.53
35 2016-11-09 8.95985718833772 1.06562238709536 25.77
35.5 2016-11-01 8.98104390068092 1.07636963880492 26.03
36 2016-10-24 9.01241579069066 1.19107968438859 25.31
36.5 2016-10-16 9.00273056682794 1.21653079270453 25.45
37 2016-10-08 9.01720961505417 1.18724202341827 25.51
37.5 2016-09-30 9.03363288514986 1.22557663938164 24.94
38 2016-07-21 8.99046360885797 1.14558771986417 24.75
38.5 2016-05-10 8.86462731621068 1.17265043889244 27.83
39 2016-02-29 8.86334587507814 1.21570038975785 29.4
39.5 2016-02-12 8.8735707340462 1.19453256175399 28.74
40 2016-01-27 8.86890336846802 1.19689107010211 30.26
40.5 2016-01-10 8.89347366008939 1.16463150186669 29.19
41 2015-12-24 8.90183056933056 1.20477032256592 28.75
41.5 2015-12-07 8.93520627577379 1.22702847595624 28.52
42 2015-11-20 8.95097199369292 1.23552026906381 26.3
42.5 2015-11-03 8.96478807990137 1.22855951441941 26.73
43 2015-10-18 8.95880548694128 1.179403703396 25.9
43.5 2015-10-01 8.98582105698896 1.26263889859331 25.2
44 2015-09-04 8.97420349821503 1.22129627131636 24.25
44.5 2015-08-08 8.93183444645992 1.24256423049604 25.17
45 2015-07-13 8.91063908702554 1.19125092465824 25.39
45.5 2015-06-16 8.87630389728223 1.20610036804682 26.57
46 2015-05-20 8.83378144672894 1.25553189872966 27.53
46.5 2015-04-24 8.83017488164573 1.26566912787585 28.03
47 2015-03-28 8.81149365501043 1.31369894435199 28.22
47.5 2015-03-01 8.78338622039986 1.28225689303647 28.4
48 2015-02-18 8.78453177043054 1.20374903083966 28.48
48.5 2015-02-06 8.79977476038712 1.23682148849199 27.94
49 2015-01-25 8.79751254788802 1.18480744885959 28.12
49.5 2015-01-14 8.81300367178945 1.23145004175032 28.01
50 2015-01-02 8.84144773727216 1.10653580642259 29.46
50.5 2014-12-21 8.85583997263816 1.12522826654377 29.15
51 2014-12-10 8.82611522401023 1.03512148104097 28.25
51.5 2014-11-28 8.81158503034614 1.16067121773216 26.76
52 2014-11-16 8.83722507034914 1.14391861329017 26.15
52.5 2014-11-05 8.86331118477325 1.13443101226254 25.58
53 2014-10-24 8.89392551403618 1.09615821850593 25.74
53.5 2014-10-12 8.92304800533596 1.17921097578801 25.26
54 2014-10-01 8.99667908782279 1.12026392255239 25.51
54.5 2014-09-17 8.97052045879513 1.1352873814477 25.08
55 2014-09-02 8.98255831260611 1.14751341321844 25.45
55.5 2014-08-19 8.99134215815722 1.21302075067209 25.07
56 2014-08-05 8.96144514065417 1.32701222168897 25.25
56.5 2014-07-22 8.92213129192499 1.32040119750541 25.32
57 2014-07-07 8.90401517987636 1.28930001528422 24.68
57.5 2014-06-23 8.81439073274799 1.25728394544949 25.58
58 2014-06-09 8.82566540892424 1.2152668810206 26.02
58.5 2014-05-26 8.81356688388166 1.23495902274794 27.46
59 2014-05-11 8.80540785660007 1.30084318196143 27.82
59.5 2014-04-27 8.8024521490348 1.33652817424145 27.4
60 2014-04-13 8.81092456047012 1.30672753825649 28.16
60.5 2014-03-30 8.79407045227318 1.24570415423221 29.01
61 2014-03-16 8.80714797053858 1.07502496806435 28.57
61.5 2014-03-01 8.79235108882328 1.12646820653443 28.81
62 2014-02-12 8.81462098560472 1.17864776759846 28.55
62.5 2014-01-27 8.83053367882828 1.16679802166881 28.45
63 2014-01-10 8.84567469001066 1.21611661155832 27.93
63.5 2013-12-24 8.89758361685409 1.21853297041246 28.81
64 2013-12-07 8.90411676642089 1.19414444064521 28.31
64.5 2013-11-20 8.95494460840603 1.16460803263019 26.86
65 2013-11-03 8.97760389643019 1.28313443654548 26.41
65.5 2013-10-18 9.00445823853891 1.32528615727991 26.09
66 2013-10-01 9.02062359299587 1.26775259555304 25.53
66.5 2013-09-11 8.99275968731199 1.29889523506836 23.65
67 2013-08-23 8.99097619216803 1.25368046621953 24.47
67.5 2013-08-04 9.00946249097275 1.27052077400264 24.78
68 2013-07-15 8.98738575777405 1.30452096103061 23.94
68.5 2013-06-26 8.95296575009236 1.30805278523574 24.24
69 2013-06-06 8.92067487612387 1.28668269164018 25.54
69.5 2013-05-18 8.89545585712736 1.30735706388871 26.01
70 2013-04-29 8.86339177908224 1.27296662788576 26.5
70.5 2013-04-09 8.8575990578422 1.11320457440268 27.63
71 2013-03-21 8.839903878418 1.13014720472655 29.12
71.5 2013-03-01 8.81360961278348 1.01572431990361 29.17
72 2013-02-18 8.81626333105747 1.10735966689209 29.61
72.5 2013-02-06 8.83821171416214 1.1332309797754 27.76
73 2013-01-25 8.84684319779147 1.1458714011052 28.13
73.5 2013-01-14 8.84891084887211 1.20052773308403 27.55
74 2013-01-02 8.87953984182687 1.15415344183081 27.85
74.5 2012-12-20 8.86785320587114 1.09291507323451 28.75
75 2012-12-09 8.90006187609026 1.16619337568268 26.95
75.5 2012-11-27 8.94124642644477 1.16916971562072 26.83
